tier,scenario_id,seed,controller,time_s,alpha_rad,q_radps,theta_rad,alpha_ref_rad,q_ref_radps,theta_ref_rad,alpha_min_rad,alpha_max_rad,q_min_radps,q_max_radps,alpha_error_rad,q_error_rad,theta_error_rad,mach,altitude_m,dynamic_pressure_pa,delta_flap_rad,delta_flap_raw_rad,delta_flap_rate_radps,flap_saturated,flap_rate_saturated,solver_status,solve_time_s,solver_failure,actuator_tau_prediction_s,corridor_violation,oracle_near_feasible,alpha_error_to_center_rad,alpha_margin_low_rad,alpha_margin_high_rad,dynamic_pressure_scaled,mach_scaled,actuator_tau_s,alpha_min_rate_radps,alpha_max_rate_radps
moderate,24,79,slack_oracle,0.0,0.08863944874336599,0.046769934765943176,0.08475222213006421,0.12,-1.5202636718752993e-05,0.08,0.04999999999999999,0.19,-0.08,0.08,-0.031360551256634006,0.04678513740266193,0.00475222213006421,21.012104371718653,82000.0,96.02726214802813,0.0,0.18000000994868456,0.0,False,False,oracle_solution,0.0,False,0.5306151266011491,False,True,-0.031360551256634006,0.038639448743366,0.10136055125663401,0.009602726214802813,1.0506052185859327,0.5306151266011491,0.0,0.0
moderate,24,79,slack_oracle,1.0,0.11311580851971943,0.04676669637882333,0.13152090907277558,0.12009173525377229,-6.052490234374763e-05,0.079969658203125,0.05009173525377228,0.1900917352537723,-0.08,0.08,-0.006975926734052854,0.04682722128116708,0.05155125086965058,21.00908182581111,81995.44873046875,96.0685602298398,0.12577002851708347,0.350000009947409,0.0,False,False,oracle_solution,0.0,False,0.5306151266011491,False,True,-0.006975926734052854,0.06302407326594715,0.07697592673405286,0.00960685602298398,1.0504540912905553,0.5306151266011491,9.173525377229041e-05,9.173525377229041e-05
moderate,24,79,slack_oracle,2.0,0.13275462934284207,0.046760944685949477,0.1782851588436944,0.12036351165980795,-0.00012031982421875642,0.079879140625,0.050363511659807944,0.19036351165980797,-0.08,0.08,0.012391117683034122,0.04688126451016823,0.0984060182186944,21.00134410223131,81981.87109375,96.20356559270985,0.2824445262958166,0.3500000099459517,0.0,False,False,oracle_solution,0.0,False,0.5306151266011491,False,True,0.012391117683034109,0.08239111768303413,0.0576088823169659,0.009620356559270985,1.0500672051115656,0.5306151266011491,0.0002717764060356648,0.00027177640603567865
moderate,24,79,slack_oracle,3.0,0.14850920323033054,0.04675388806610627,0.22504273526997043,0.12081018518518519,-0.00017935302734374547,0.07972920898437501,0.05081018518518518,0.1908101851851852,-0.08,0.08,0.02769901804514535,0.04693324109345001,0.1453135262855954,20.98953738670099,81959.38134765625,96.436825736233,0.32964705204892675,0.3500000099439331,0.0,False,False,oracle_solution,0.0,False,0.5306151266011491,False,True,0.02769901804514535,0.09769901804514536,0.042300981954854655,0.0096436825736233,1.0494768693350496,0.5306151266011491,0.00044667352537723637,0.0004466735253772225
moderate,24,79,slack_oracle,4.0,0.16114584909057733,0.0467460943828113,0.2717927993744217,0.12142661179698216,-0.00023762451171874255,0.079520625,0.05142661179698216,0.19142661179698217,-0.08,0.08,0.039719237293595167,0.04698371889453004,0.19227217437442168,20.973993032370615,81928.09375,96.77030507346042,0.3438681184565992,0.3500000099411901,0.0,False,False,oracle_solution,0.0,False,0.5306151266011491,False,True,0.039719237293595167,0.10971923729359517,0.03028076270640484,0.009677030507346042,1.0486996516185307,0.5306151266011491,0.0006164266117969774,0.0006164266117969774
moderate,24,79,slack_oracle,5.0,0.17127978500480023,0.04673779183697445,0.31853478425438897,0.1222076474622771,-0.0002951342773437615,0.079254150390625,0.05220764746227709,0.1922076474622771,-0.08,0.08,0.04907213754252314,0.04703292611431821,0.23928063386376397,20.95494384003998,81888.12255859375,97.20537020188468,0.3481526080357971,0.3500000099373295,0.0,False,False,oracle_solution,0.0,False,0.5306151266011491,False,True,0.04907213754252315,0.11907213754252315,0.020927862457476853,0.009720537020188467,1.047747192001999,0.5306151266011491,0.0007810356652949296,0.0007810356652949157
moderate,24,79,slack_oracle,6.0,0.17940485172859832,0.04672909323130802,0.36526825531518764,0.12314814814814815,-0.0003518823242187469,0.07893054687500001,0.05314814814814814,0.19314814814814815,-0.08,0.08,0.05625670358045018,0.04708097555552677,0.28633770844018763,20.932572348428415,81839.58203125,97.74323405265748,0.34944342901910974,0.3500000099316525,0.0,False,False,oracle_solution,0.0,False,0.5306151266011491,False,True,0.05625670358045018,0.12625670358045019,0.013743296419549828,0.009774323405265748,1.0466286174214208,0.5306151266011491,0.0009405006858710513,0.0009405006858710652
moderate,24,79,slack_oracle,7.0,0.18591743667834365,0.04672006616212089,0.4119928564493586,0.12424296982167352,-0.00040786865234375413,0.078550576171875,0.05424296982167351,0.19424296982167352,-0.08,0.08,0.061674466856670135,0.047127934814464645,0.3334422802774836,20.907030470688255,81782.58642578125,98.38513610383856,0.3498323245378518,0.35000000992279207,0.0,False,False,oracle_solution,0.0,False,0.5306151266011491,False,True,0.061674466856670135,0.13167446685667014,0.008325533143329872,0.009838513610383856,1.0453515235344129,0.5306151266011491,0.0010948216735253702,0.0010948216735253702
moderate,24,79,slack_oracle,8.0,0.191135696750213,0.04671075627768517,0.4587082844830866,0.1254869684499314,-0.00046309326171874166,0.078115,0.055486968449931395,0.1954869684499314,-0.08,0.08,0.0656487283002816,0.047173849539403914,0.3805932844830866,20.878449470932924,81717.25,99.13243363161222,0.34994949006274173,0.3500000099076993,0.0,False,False,oracle_solution,0.0,False,0.5306151266011491,False,True,0.0656487283002816,0.1356487283002816,0.004351271699718412,0.009913243363161222,1.0439224735466461,0.5306151266011491,0.0012439986282578863,0.0012439986282578863
moderate,24,79,slack_oracle,9.0,0.19531499376491274,0.046701195954788575,0.5054142740193198,0.126875,-0.0005175561523437511,0.077624580078125,0.05687499999999998,0.196875,-0.08,0.08,0.06843999376491275,0.04721875210713233,0.4277896939411948,20.84694573386822,81643.68701171875,99.98665450606008,0.34998478940712957,0.35000000987815216,0.0,False,False,oracle_solution,0.0,False,0.5306151266011491,False,True,0.06843999376491275,0.13843999376491276,0.0015600062350872579,0.009998665450606008,1.0423472866934111,0.5306151266011491,0.0013880315500685858,0.0013880315500685858
