tier,scenario_id,seed,controller,time_s,alpha_rad,q_radps,theta_rad,alpha_ref_rad,q_ref_radps,theta_ref_rad,alpha_min_rad,alpha_max_rad,q_min_radps,q_max_radps,alpha_error_rad,q_error_rad,theta_error_rad,delta_flap_rad,delta_flap_raw_rad,delta_flap_rate_radps,flap_saturated,flap_rate_saturated,solver_status,solve_time_s,solver_failure,actuator_tau_prediction_s,corridor_violation
moderate,21,76,slack_oracle,16.0,0.17984753288898359,0.0401990273409417,0.7065238642254007,0.1401920438957476,-0.0008774682617187501,0.07272,0.0701920438957476,0.2101920438957476,-0.08,0.08,0.03965548899323598,0.04107649560266045,0.6338038642254007,0.1936353661781479,0.10582456828114473,0.0,False,False,oracle_solution,0.0,False,0.5,False
moderate,21,76,slack_oracle,17.0,0.18041179366991703,0.04019178806360041,0.7467190868632718,0.1425471536351166,-0.0009258374023437543,0.071818251953125,0.0725471536351166,0.21254715363511661,-0.08,0.08,0.03786464003480042,0.04111762546594416,0.6749008349101469,0.13509483424681248,0.04420034884754452,0.0,False,False,oracle_solution,0.0,False,0.5,False
moderate,21,76,slack_oracle,18.0,0.1808584206948513,0.040185200181554824,0.7869073854154267,0.145,-0.0009734448242187527,0.070868515625,0.07499999999999998,0.215,-0.08,0.08,0.03585842069485132,0.04115864500577358,0.7160388697904267,0.07449851064730051,-0.01641254514874377,0.0,False,False,oracle_solution,0.0,False,0.5,False
moderate,21,76,slack_oracle,19.0,0.18121124688481674,0.040179289671503485,0.8270894306087766,0.147545438957476,-0.0010202905273437451,0.069871552734375,0.07754543895747598,0.217545438957476,-0.08,0.08,0.03366580792734075,0.04119958019884723,0.7572178778744016,0.013891140116604325,-0.07461235988175408,0.0,False,False,oracle_solution,0.0,False,0.5,False
moderate,21,76,slack_oracle,20.0,0.18148941182573106,0.040174062865854475,0.867265908237023,0.1501783264746228,-0.0010663745117187456,0.068828125,0.08017832647462278,0.2201783264746228,-0.08,0.08,0.03131108535110827,0.04124043737757322,0.798437783237023,-0.04511119321563461,-0.12926724748879184,0.0,False,False,oracle_solution,0.0,False,0.5,False
moderate,21,76,slack_oracle,21.0,0.18170827259687686,0.04016950934188169,0.907437501260851,0.1528935185185185,-0.0011116967773437542,0.06773899414062501,0.0828935185185185,0.22289351851851852,-0.08,0.08,0.028814754078358346,0.04128120611922544,0.839698507120226,-0.10121522939773943,-0.17944528539041454,0.0,False,False,oracle_solution,0.0,False,0.5,False
moderate,21,76,slack_oracle,22.0,0.1818801368056372,0.04016560382307671,0.9476048742418745,0.15568587105624143,-0.001156257324218743,0.066604921875,0.08568587105624142,0.22568587105624144,-0.08,0.08,0.026194265749395762,0.041321861147295455,0.8809999523668745,-0.15336860005952282,-0.22436343557075633,0.0,False,False,oracle_solution,0.0,False,0.5,False
moderate,21,76,slack_oracle,23.0,0.18201485230858566,0.040162307674434225,0.987768659398861,0.15855024005486967,-0.0012000561523437536,0.065426669921875,0.08855024005486967,0.22855024005486968,-0.08,0.08,0.02346461225371599,0.04136236382677798,0.9223419894769861,-0.20069849040034515,-0.26334429436426904,0.0,False,False,oracle_solution,0.0,False,0.5,False
moderate,21,76,slack_oracle,24.0,0.18212028458765658,0.040159576999635606,1.027929447148325,0.16148148148148148,-0.0012430932617187584,0.064205,0.09148148148148147,0.23148148148148148,-0.08,0.08,0.020638803106175108,0.041402670261354364,0.963724447148325,-0.24246235970962773,-0.2957618254088129,0.0,False,False,oracle_solution,0.0,False,0.5,False
moderate,21,76,slack_oracle,25.0,0.18220269823627258,0.040157349359605306,1.0680877751453346,0.164474451303155,-0.0012853686523437435,0.062940673828125,0.09447445130315499,0.234474451303155,-0.08,0.08,0.017728246933117586,0.04144271801194905,1.0051471013172095,-0.27799533684241784,-0.32106564078578836,0.0,False,False,oracle_solution,0.0,False,0.5,False
moderate,21,76,slack_oracle,26.0,0.18226705801566281,0.040155547958939074,1.108244111436471,0.16752400548696844,-0.0013268823242187505,0.061634453125,0.09752400548696843,0.23752400548696845,-0.08,0.08,0.014743052528694373,0.041482430283157824,1.046609658311471,-0.30670887280466486,-0.33878211304487676,0.0,False,False,oracle_solution,0.0,False,0.5,False
moderate,21,76,slack_oracle,27.0,0.18231727236298856,0.04015408102270659,1.1483988397895382,0.170625,-0.0013676342773437516,0.060287099609375,0.10062499999999999,0.240625,-0.08,0.08,0.01169227236298856,0.04152171530005034,1.0881117401801632,-0.32809103296480613,-0.3485226837583577,0.0,False,False,oracle_solution,0.0,False,0.5,False
moderate,21,76,slack_oracle,28.0,0.18235638824653433,0.04015284121245194,1.188552244394436,0.17377229080932782,-0.001407624511718747,0.058899375000000004,0.10377229080932782,0.24377229080932783,-0.08,0.08,0.008584097437206506,0.041560465724170687,1.129652869394436,-0.34171213349384055,-0.34999958180108426,0.0,False,False,oracle_solution,0.0,False,0.5,False
moderate,21,76,slack_oracle,29.0,0.1823867470683151,0.04015170522628129,1.2287044940364413,0.17696073388203018,-0.0014468530273437502,0.057472041015625,0.10696073388203017,0.2469607338820302,-0.08,0.08,0.0054260131862849115,0.04159855825362504,1.1712324530208162,-0.347237099032003,-0.3482789532536571,0.0,False,False,oracle_solution,0.0,False,0.5,False
moderate,21,76,slack_oracle,30.0,0.18241012329680634,0.040150595555009105,1.2688556414565233,0.1801851851851852,-0.0014853198242187476,0.056005859375,0.11018518518518519,0.2501851851851852,-0.08,0.08,0.0022249381116211386,0.04163591537922785,1.2128497820815234,-0.34793166851310575,-0.3386111295855232,0.0,False,False,oracle_solution,0.0,False,0.5,False
moderate,21,76,slack_oracle,31.0,0.18242787261525426,0.04014938881799449,1.3090056621665103,0.1834405006858711,-0.001523024902343753,0.054501591796875,0.11344050068587108,0.2534405006858711,-0.08,0.08,-0.0010126280706168334,0.041672413720338246,1.2545040703696353,-0.34171797589471736,-0.3216919204129866,0.0,False,False,oracle_solution,0.0,False,0.5,False
moderate,21,76,slack_oracle,32.0,0.1824409568973586,0.040147944647168324,1.349154392145954,0.186721536351166,-0.0015599682617187527,0.05295999999999999,0.116721536351166,0.256721536351166,-0.08,0.08,-0.004280579453807415,0.041707912908887076,1.296194392145954,-0.32836727224023016,-0.29849397386742577,0.0,False,False,oracle_solution,0.0,False,0.5,False
moderate,21,76,slack_oracle,33.0,0.1824500169748601,0.04014611927747941,1.3893015216886768,0.19002314814814816,-0.0015961499023437464,0.051381845703125005,0.12002314814814816,0.2600231481481482,-0.08,0.08,-0.007573131173288061,0.041742269179823155,1.3379196759855518,-0.30845173999169395,-0.27032718591703625,0.0,False,False,oracle_solution,0.0,False,0.5,False
moderate,21,76,slack_oracle,34.0,0.18245543859473076,0.0401437754358222,1.429446597986055,0.19334019204389574,-0.001631569824218762,0.049767890625000005,0.12334019204389574,0.26334019204389575,-0.08,0.08,-0.01088475344916498,0.04177534526004096,1.3796787073610548,-0.2830353706085888,-0.23888629079003998,0.0,False,False,oracle_solution,0.0,False,0.5,False
moderate,21,76,slack_oracle,35.0,0.18245741339910754,0.04014079262934043,1.4695890367544415,0.19666752400548698,-0.0016662280273437372,0.048118896484375,0.12666752400548698,0.266667524005487,-0.08,0.08,-0.014210110606379445,0.041807020656684166,1.4214701402700665,-0.2536026507295563,-0.20627142657694195,0.0,False,False,oracle_solution,0.0,False,0.5,False
moderate,21,76,slack_oracle,36.0,0.18245599759354175,0.04013707916537906,1.5097281446971982,0.2,-0.001700124511718755,0.046435625,0.13,0.27,-0.08,0.08,-0.01754400240645826,0.04183720367709781,1.4632925196971982,-0.22204850129448006,-0.17496087727897472,0.0,False,False,oracle_solution,0.0,False,0.5,False
moderate,21,76,slack_oracle,37.0,0.1824511706533147,0.04013258591816237,1.5498631548821458,0.20333247599451304,-0.001733259277343746,0.044718837890624995,0.13333247599451303,0.27333247599451305,-0.08,0.08,-0.020881305341198336,0.04186584519550612,1.5051443169915208,-0.19065675195080986,-0.1477060518322864,0.0,False,False,oracle_solution,0.0,False,0.5,False
moderate,21,76,slack_oracle,38.0,0.18244289539641284,0.040127320778465085,1.589993276520273,0.20665980795610428,-0.0017656323242187522,0.042969296875,0.13665980795610427,0.2766598079561043,-0.08,0.08,-0.02421691255969144,0.04189295310268384,1.547023979645273,-0.16202295187179425,-0.12731115571175344,0.0,False,False,oracle_solution,0.0,False,0.5,False
moderate,21,76,slack_oracle,39.0,0.18243117897030295,0.040121361411177364,1.6301177589594467,0.20997685185185183,-0.0017972436523437524,0.041187763671875,0.13997685185185182,0.27997685185185184,-0.08,0.08,-0.027545672881548883,0.04191860506352112,1.5889299952875717,-0.13888175443176703,-0.11626647592941773,0.0,False,False,oracle_solution,0.0,False,0.5,False
moderate,21,76,slack_oracle,40.0,0.18241613157774952,0.04011486238742953,1.6702359665997566,0.21327846364883404,-0.0018280932617187468,0.039375,0.14327846364883404,0.283278463648834,-0.08,0.08,-0.03086233207108452,0.041942955649148274,1.6308609665997567,-0.1238049020968675,-0.11626647592941773,0.0,False,False,oracle_solution,0.0,False,0.5,False
