tier,scenario_id,seed,density_scale,cm_alpha_scale,cm_delta_scale,cm_q_scale,actuator_lag_s,actuator_delay_s,sensor_noise_alpha_rad,sensor_noise_q_radps,sensor_noise_theta_rad,initial_alpha_error_rad,initial_q_error_radps,initial_theta_error_rad,external_disturbance_moment_nm,controller,rms_alpha_error_rad,max_alpha_error_rad,rms_pitch_rate_error_radps,control_effort_abs_rad_s,flap_saturation_fraction,flap_rate_saturation_fraction,alpha_violation_count,pitch_rate_violation_count,solver_failure,unstable_response,failure_label,residual_gain,trajectory_csv,metrics_json,residual_surrogate
moderate,5,60,0.9472851438103829,0.8581439175685014,0.8218883549768894,1.1961966085206186,0.3021514856561525,1.0,0.002904553797721493,0.0014873038666191403,0.0011797634968893586,-0.040412614765709766,0.050130858041308214,-0.01917497838311747,339.20421081160555,residual_horizon_nmpc_gain_0,0.04007984416881059,0.08584403491522452,0.048083205574999496,49.19503043758249,0.0,0.11838006230529595,31,0,False,False,alpha_corridor_violation,0.0,outputs/phase11_residual_mpc/moderate/scenario_005/gain_0/trajectory.csv,outputs/phase11_residual_mpc/moderate/scenario_005/gain_0/metrics.json,outputs/phase11_residual_mpc/residual_surrogate.json
moderate,5,60,0.9472851438103829,0.8581439175685014,0.8218883549768894,1.1961966085206186,0.3021514856561525,1.0,0.002904553797721493,0.0014873038666191403,0.0011797634968893586,-0.040412614765709766,0.050130858041308214,-0.01917497838311747,339.20421081160555,residual_horizon_nmpc_gain_0.5,0.043195342575010905,0.08594703664572662,0.04715049774923438,38.6781374768499,0.0,0.040498442367601244,32,0,False,False,alpha_corridor_violation,0.5,outputs/phase11_residual_mpc/moderate/scenario_005/gain_0.5/trajectory.csv,outputs/phase11_residual_mpc/moderate/scenario_005/gain_0.5/metrics.json,outputs/phase11_residual_mpc/residual_surrogate.json
moderate,5,60,0.9472851438103829,0.8581439175685014,0.8218883549768894,1.1961966085206186,0.3021514856561525,1.0,0.002904553797721493,0.0014873038666191403,0.0011797634968893586,-0.040412614765709766,0.050130858041308214,-0.01917497838311747,339.20421081160555,residual_horizon_nmpc_gain_1,0.04508497286830841,0.08595835975461363,0.04663459928419733,35.633817463864915,0.0,0.021806853582554516,34,0,False,False,alpha_corridor_violation,1.0,outputs/phase11_residual_mpc/moderate/scenario_005/gain_1/trajectory.csv,outputs/phase11_residual_mpc/moderate/scenario_005/gain_1/metrics.json,outputs/phase11_residual_mpc/residual_surrogate.json
moderate,5,60,0.9472851438103829,0.8581439175685014,0.8218883549768894,1.1961966085206186,0.3021514856561525,1.0,0.002904553797721493,0.0014873038666191403,0.0011797634968893586,-0.040412614765709766,0.050130858041308214,-0.01917497838311747,339.20421081160555,residual_horizon_nmpc_gain_2,0.04465917926572376,0.08596402222646948,0.046753029979108934,31.73669139583071,0.0,0.0,33,0,False,False,alpha_corridor_violation,2.0,outputs/phase11_residual_mpc/moderate/scenario_005/gain_2/trajectory.csv,outputs/phase11_residual_mpc/moderate/scenario_005/gain_2/metrics.json,outputs/phase11_residual_mpc/residual_surrogate.json
moderate,6,61,0.9623122848632923,1.08158068545768,1.068457241400226,1.0836619346162633,0.15181347760620825,1.0,0.002994278568569675,0.0014215992020767117,0.0005768931239277049,-0.029436407225376708,0.04991251707174247,0.004186027688699627,365.6368989117598,residual_horizon_nmpc_gain_0,0.04170962074041876,0.08554521328447273,0.047266958809464785,48.33442545095014,0.0,0.12461059190031153,30,0,False,False,alpha_corridor_violation,0.0,outputs/phase11_residual_mpc/moderate/scenario_006/gain_0/trajectory.csv,outputs/phase11_residual_mpc/moderate/scenario_006/gain_0/metrics.json,outputs/phase11_residual_mpc/residual_surrogate.json
moderate,6,61,0.9623122848632923,1.08158068545768,1.068457241400226,1.0836619346162633,0.15181347760620825,1.0,0.002994278568569675,0.0014215992020767117,0.0005768931239277049,-0.029436407225376708,0.04991251707174247,0.004186027688699627,365.6368989117598,residual_horizon_nmpc_gain_0.5,0.0488112445375647,0.08567239450887107,0.04595084041458201,37.50389137787329,0.0,0.07476635514018691,44,0,False,False,alpha_corridor_violation,0.5,outputs/phase11_residual_mpc/moderate/scenario_006/gain_0.5/trajectory.csv,outputs/phase11_residual_mpc/moderate/scenario_006/gain_0.5/metrics.json,outputs/phase11_residual_mpc/residual_surrogate.json
moderate,6,61,0.9623122848632923,1.08158068545768,1.068457241400226,1.0836619346162633,0.15181347760620825,1.0,0.002994278568569675,0.0014215992020767117,0.0005768931239277049,-0.029436407225376708,0.04991251707174247,0.004186027688699627,365.6368989117598,residual_horizon_nmpc_gain_1,0.05405260268893136,0.1053185828983148,0.0451123326853716,33.14859633552118,0.0,0.07476635514018691,60,0,False,False,alpha_corridor_violation,1.0,outputs/phase11_residual_mpc/moderate/scenario_006/gain_1/trajectory.csv,outputs/phase11_residual_mpc/moderate/scenario_006/gain_1/metrics.json,outputs/phase11_residual_mpc/residual_surrogate.json
moderate,6,61,0.9623122848632923,1.08158068545768,1.068457241400226,1.0836619346162633,0.15181347760620825,1.0,0.002994278568569675,0.0014215992020767117,0.0005768931239277049,-0.029436407225376708,0.04991251707174247,0.004186027688699627,365.6368989117598,residual_horizon_nmpc_gain_2,0.054149502597044104,0.11793043787082026,0.045209940887713435,31.770019681971924,0.0,0.0,59,0,False,False,alpha_corridor_violation,2.0,outputs/phase11_residual_mpc/moderate/scenario_006/gain_2/trajectory.csv,outputs/phase11_residual_mpc/moderate/scenario_006/gain_2/metrics.json,outputs/phase11_residual_mpc/residual_surrogate.json
moderate,7,62,1.0327960500573494,1.0743319912045537,1.112278953735189,0.9151421317114131,0.24263274437772925,0.5,0.0015409049665688031,0.001310924831518817,0.0024801614615146002,-0.042927603471438924,0.053090159356097025,-0.0191536012615999,-1423.905416998581,residual_horizon_nmpc_gain_0,0.048487095729652714,0.09548190109093832,0.04654181445760257,44.394637138313925,0.0,0.13395638629283488,38,0,False,False,alpha_corridor_violation,0.0,outputs/phase11_residual_mpc/moderate/scenario_007/gain_0/trajectory.csv,outputs/phase11_residual_mpc/moderate/scenario_007/gain_0/metrics.json,outputs/phase11_residual_mpc/residual_surrogate.json
moderate,7,62,1.0327960500573494,1.0743319912045537,1.112278953735189,0.9151421317114131,0.24263274437772925,0.5,0.0015409049665688031,0.001310924831518817,0.0024801614615146002,-0.042927603471438924,0.053090159356097025,-0.0191536012615999,-1423.905416998581,residual_horizon_nmpc_gain_0.5,0.0584329020529824,0.09563340879047783,0.04474095028068633,33.15879412069487,0.0,0.11838006230529595,70,0,False,False,alpha_corridor_violation,0.5,outputs/phase11_residual_mpc/moderate/scenario_007/gain_0.5/trajectory.csv,outputs/phase11_residual_mpc/moderate/scenario_007/gain_0.5/metrics.json,outputs/phase11_residual_mpc/residual_surrogate.json
moderate,7,62,1.0327960500573494,1.0743319912045537,1.112278953735189,0.9151421317114131,0.24263274437772925,0.5,0.0015409049665688031,0.001310924831518817,0.0024801614615146002,-0.042927603471438924,0.053090159356097025,-0.0191536012615999,-1423.905416998581,residual_horizon_nmpc_gain_1,0.06415158270472925,0.09672676698775244,0.0439441133628727,32.19190099055669,0.0,0.14330218068535824,96,0,False,False,alpha_corridor_violation,1.0,outputs/phase11_residual_mpc/moderate/scenario_007/gain_1/trajectory.csv,outputs/phase11_residual_mpc/moderate/scenario_007/gain_1/metrics.json,outputs/phase11_residual_mpc/residual_surrogate.json
