tier,scenario_id,seed,controller,time_s,alpha_rad,q_radps,theta_rad,alpha_ref_rad,q_ref_radps,theta_ref_rad,alpha_min_rad,alpha_max_rad,q_min_radps,q_max_radps,alpha_error_rad,q_error_rad,theta_error_rad,mach,altitude_m,velocity_mps,dynamic_pressure_pa,delta_flap_rad,delta_flap_raw_rad,delta_flap_rate_radps,flap_saturated,flap_rate_saturated,solver_status,solve_time_s,solver_failure,actuator_tau_prediction_s,density_scale,cm_alpha_scale,cm_delta_scale,cm_q_scale,external_disturbance_moment_nm,corridor_violation
stress,17,10072,truth_consistent_slack_oracle,17.0,0.10761375635188931,0.023677255654651088,0.4864758526799595,0.1425471536351166,-0.0009258374023437543,0.071818251953125,0.0725471536351166,0.21254715363511661,-0.08,0.08,-0.034933397283227294,0.024603093056994842,0.41465760072683455,20.500818503759668,80772.73779296875,6049.1358920902585,97.1217260916562,-0.3500000092752377,-0.3500000099983623,0.0,False,False,oracle_solution,0.0,False,0.7588030678522094,0.8755295136153882,1.1674382533539729,0.601755866814456,0.8705304857647,136.40725027485112,False
stress,17,10072,truth_consistent_slack_oracle,18.0,0.10761810313127458,0.02368229644853579,0.510155628746783,0.145,-0.0009734448242187527,0.070868515625,0.07499999999999998,0.215,-0.08,0.08,-0.03738189686872541,0.024655741272754543,0.439287113121783,20.44695600594777,80630.27734375,6033.242791593229,98.80696710289364,-0.3500000097852358,-0.3500000099983863,0.0,False,False,oracle_solution,0.0,False,0.7588030678522094,0.8755295136153882,1.1674382533539729,0.601755866814456,0.8705304857647,136.40725027485112,False
stress,17,10072,truth_consistent_slack_oracle,19.0,0.10762611664232608,0.023687338050447756,0.533840446025106,0.147545438957476,-0.0010202905273437451,0.069871552734375,0.07754543895747598,0.217545438957476,-0.08,0.08,-0.03991932231514991,0.0247076285777915,0.46396889329073104,20.39096400829609,80480.73291015625,6016.721343798232,100.61139066475128,-0.35000000993556446,-0.35000000999840947,0.0,False,False,oracle_solution,0.0,False,0.7588030678522094,0.8755295136153882,1.1674382533539729,0.601755866814456,0.8705304857647,136.40725027485112,False
stress,17,10072,truth_consistent_slack_oracle,20.0,0.10763707349969785,0.023692380431875614,0.5575303053065047,0.1501783264746228,-0.0010663745117187456,0.068828125,0.08017832647462278,0.2201783264746228,-0.08,0.08,-0.042541252974924934,0.02475875494359436,0.4887021803065047,20.332902889650182,80324.21875,5999.589364571574,102.5390088348151,-0.35000000997988717,-0.3500000099984313,0.0,False,False,oracle_solution,0.0,False,0.7588030678522094,0.8755295136153882,1.1674382533539729,0.601755866814456,0.8705304857647,136.40725027485112,False
stress,17,10072,truth_consistent_slack_oracle,21.0,0.10765039316516982,0.023697423607948305,0.5812252073763036,0.1528935185185185,-0.0011116967773437542,0.06773899414062501,0.0828935185185185,0.22289351851851852,-0.08,0.08,-0.04524312535334869,0.02480912038529206,0.5134862132356786,20.27283107707244,80160.84912109375,5981.864093870782,104.59413713076374,-0.3500000099929657,-0.3500000099984513,0.0,False,False,oracle_solution,0.0,False,0.7588030678522094,0.8755295136153882,1.1674382533539729,0.601755866814456,0.8705304857647,136.40725027485112,False
stress,17,10072,truth_consistent_slack_oracle,22.0,0.10766560977654664,0.023702467634927792,0.604925153055878,0.15568587105624143,-0.001156257324218743,0.066604921875,0.08568587105624142,0.22568587105624144,-0.08,0.08,-0.04802026127969479,0.024858724959146535,0.538320231180878,20.210805232059418,79990.73828125,5963.562250691366,106.78140542250806,-0.35000000999683456,-0.35000000999846975,0.0,False,False,oracle_solution,0.0,False,0.7588030678522094,0.8755295136153882,1.1674382533539729,0.601755866814456,0.8705304857647,136.40725027485112,False
stress,17,10072,truth_consistent_slack_oracle,23.0,0.10768234969445505,0.023707512945054653,0.6286301434111432,0.15855024005486967,-0.0012000561523437536,0.065426669921875,0.08855024005486967,0.22855024005486968,-0.08,0.08,-0.05086789036041463,0.024907569097398406,0.5632034734892682,20.146880410522424,79814.00048828125,5944.700080271976,109.10576944786732,-0.3500000099979878,-0.35000000999848563,0.0,False,False,oracle_solution,0.0,False,0.7588030678522094,0.8755295136153882,1.1674382533539729,0.601755866814456,0.8705304857647,136.40725027485112,False
stress,17,10072,truth_consistent_slack_oracle,24.0,0.10770031622063654,0.023712565918133133,0.652340182914282,0.16148148148148148,-0.0012430932617187584,0.064205,0.09148148148148147,0.23148148148148148,-0.08,0.08,-0.053781165260844935,0.024955659179851892,0.588135182914282,20.08111020126924,79630.75,5925.293394955936,111.57252299239089,-0.35000000999833886,-0.350000009998496,0.0,False,False,oracle_solution,0.0,False,0.7588030678522094,0.8755295136153882,1.1674382533539729,0.601755866814456,0.8705304857647,136.40725027485112,False
stress,17,10072,truth_consistent_slack_oracle,25.0,0.10771927435556683,0.02371762730549985,0.6760552796032484,0.164474451303155,-0.0012853686523437435,0.062940673828125,0.09447445130315499,0.234474451303155,-0.08,0.08,-0.056755176947588165,0.025002995957843593,0.6131146057751234,20.01354684669993,79441.10107421875,5905.35760980471,114.18731076556932,-0.35000000999844966,-0.3500000099984989,0.0,False,False,oracle_solution,0.0,False,0.7588030678522094,0.8755295136153882,1.1674382533539729,0.601755866814456,0.8705304857647,136.40725027485112,False
stress,17,10072,truth_consistent_slack_oracle,26.0,0.10773903622064791,0.02372269794306022,0.6997754423097721,0.16752400548696844,-0.0013268823242187505,0.061634453125,0.09752400548696843,0.23752400548696845,-0.08,0.08,-0.05978496926632053,0.02504958026727897,0.638140989184772,19.944241348659794,79245.16796875,5884.907773831726,116.95614199928964,-0.35000000999848435,-0.3500000099984916,0.0,False,False,oracle_solution,0.0,False,0.7588030678522094,0.8755295136153882,1.1674382533539729,0.601755866814456,0.8705304857647,136.40725027485112,False
