time_s,altitude_m,velocity_mps,mach,density_kgm3,dynamic_pressure_pa,heating_proxy,alpha_ref_rad,theta_ref_rad,q_ref_radps,alpha_min_rad,alpha_max_rad,q_min_radps,q_max_radps,flap_min_rad,flap_max_rad,flap_rate_min_radps,flap_rate_max_radps,dynamic_pressure_limit_pa,heating_proxy_limit,dynamic_pressure_limit_exceeded,heating_proxy_limit_exceeded
81.5,61951.62677001953,4308.505072747086,14.601735205587266,0.00011793229933948481,1094.6013707604022,868552768.4117769,0.27610644311138244,-0.05365582153320313,-0.0024366113281250046,0.20610644311138243,0.34610644311138244,-0.08,0.08,-0.35,0.35,-0.18,0.18,8500.0,250000000.0,False,True
82.0,61768.90234375,4293.128184770147,14.549622177347963,0.0001213798104300369,1118.5725849063488,871755698.8235857,0.27570341848234414,-0.054873984375000004,-0.0024359448242187443,0.20570341848234414,0.34570341848234415,-0.08,0.08,-0.35,0.35,-0.18,0.18,8500.0,250000000.0,False,True
82.5,61586.23504638672,4277.774049214653,14.497586258181908,0.00012492697707064065,1143.0412899074113,874946786.095889,0.2752824327338468,-0.05609176635742187,-0.0024350878906250206,0.20528243273384678,0.3452824327338468,-0.08,0.08,-0.35,0.35,-0.18,0.18,8500.0,250000000.0,False,True
83.0,61403.63916015625,4262.443731424724,14.445631058592618,0.000128576357145154,1168.0150513010208,878125391.6190935,0.27484375,-0.057309072265625025,-0.0024340405273437504,0.20484375,0.34484375,-0.08,0.08,-0.35,0.35,-0.18,0.18,8500.0,250000000.0,False,True
83.5,61221.128967285156,4247.138294271152,14.393760180701383,0.00013233055510245454,1193.5014304128354,881290878.1909801,0.27438763441491365,-0.05852580688476562,-0.002432802734374989,0.20438763441491364,0.34438763441491366,-0.08,0.08,-0.35,0.35,-0.18,0.18,8500.0,250000000.0,False,True
84.0,61038.71875,4231.858798176278,14.341977218331582,0.0001361922217665993,1219.5079785048165,884442610.3499827,0.27391435011269727,-0.059741875000000014,-0.002431374511718737,0.20391435011269726,0.3439143501126973,-0.08,0.08,-0.35,0.35,-0.18,0.18,8500.0,250000000.0,False,True
84.5,60856.422790527344,4216.606301138476,14.290285757091644,0.00014016405407822892,1246.0422306985515,887579954.7133212,0.2734241612274606,-0.06095718139648436,-0.0024297558593749935,0.2034241612274606,0.3434241612274606,-0.08,0.08,-0.35,0.35,-0.18,0.18,8500.0,250000000.0,False,True
85.0,60674.25537109375,4201.381858756196,14.238689374456536,0.00014424879476364563,1273.111699671799,890702280.3197279,0.27291733189331335,-0.06217163085937501,-0.002427946777343787,0.20291733189331335,0.34291733189331336,-0.08,0.08,-0.35,0.35,-0.18,0.18,8500.0,250000000.0,False,True
85.5,60492.23077392578,4186.186524251644,14.187191639848015,0.00014844923192791685,1300.7238691265668,893808958.9765729,0.27239412624436515,-0.06338512817382815,-0.002425947265624978,0.20239412624436515,0.34239412624436516,-0.08,0.08,-0.35,0.35,-0.18,0.18,8500.0,250000000.0,False,True
86.0,60310.36328125,4171.021348494046,14.13579611471348,0.0001527681985682724,1328.886187027205,896899365.6111001,0.2718548084147258,-0.06459757812499999,-0.002423757324218734,0.2018548084147258,0.3418548084147258,-0.08,0.08,-0.35,0.35,-0.18,0.18,8500.0,250000000.0,False,True
86.5,60128.66717529297,4155.887380022547,14.084506352603574,0.00015720857200399093,1357.606058607353,899972878.625538,0.2712996425385049,-0.06580888549804688,-0.0024213769531249985,0.2012996425385049,0.3412996425385049,-0.08,0.08,-0.35,0.35,-0.18,0.18,8500.0,250000000.0,False,True
87.0,59947.15673828125,4140.785665068743,14.033325899248526,0.0001617732732188978,1386.8908391448447,903028880.2558129,0.2707288927498122,-0.06701895507812498,-0.0024188061523437443,0.2007288927498122,0.3407288927498122,-0.08,0.08,-0.35,0.35,-0.18,0.18,8500.0,250000000.0,False,True
87.5,59765.846252441406,4125.717247578832,13.982258292633263,0.00016646526611252692,1416.7478265039692,906066756.933571,0.27014282318275734,-0.06822769165039062,-0.0024160449218750546,0.20014282318275733,0.34014282318275735,-0.08,0.08,-0.35,0.35,-0.18,0.18,8500.0,250000000.0,False,True
88.0,59584.75,4110.6831692354335,13.931307063071314,0.00017128755665593988,1447.1842534448658,909085899.6512426,0.26954169797145006,-0.06943500000000004,-0.002413093261718763,0.19954169797145005,0.33954169797145006,-0.08,0.08,-0.35,0.35,-0.18,0.18,8500.0,250000000.0,False,True
88.5,59403.882263183594,4095.6844694790416,13.880475733277544,0.0001762431919481335,1478.2072797001156,912085704.3298322,0.26892578125000005,-0.07064078491210939,-0.00240995117187498,0.19892578125000004,0.33892578125000006,-0.08,0.08,-0.35,0.35,-0.18,0.18,8500.0,250000000.0,False,True
89.0,59223.25732421875,4080.722185529149,13.829767818439732,0.00018133525916891427,1509.8239838189781,915065572.189132,0.2682953371525169,-0.07184495117187502,-0.0024066186523437616,0.1982953371525169,0.3382953371525169,-0.08,0.08,-0.35,0.35,-0.18,0.18,8500.0,250000000.0,False,True
89.5,59042.88946533203,4065.797352405041,13.779186826289047,0.00018656688442407395,1542.0413547800865,918024910.1200453,0.2676506298131105,-0.07304740356445315,-0.0024030957031249967,0.1976506298131105,0.3376506298131105,-0.08,0.08,-0.35,0.35,-0.18,0.18,8500.0,250000000.0,False,True
90.0,58862.79296875,4050.911002946254,13.728736257169384,0.00019194123147865886,1574.8662833738035,920963131.0586867,0.26699192336589034,-0.07424804687500001,-0.0023993823242187684,0.19699192336589033,0.33699192336589034,-0.08,0.08,-0.35,0.35,-0.18,0.18,8500.0,250000000.0,False,True
90.5,58682.98211669921,4036.0641678327297,13.678419604105663,0.00019746150037408989,1608.3055533558165,923879654.3619262,0.2663194819449662,-0.07544678588867192,-0.002395478515624966,0.19631948194496618,0.3363194819449662,-0.08,0.08,-0.35,0.35,-0.18,0.18,8500.0,250000000.0,False,True
91.0,58503.47119140625,4021.257875604648,13.628240352871046,0.00020313092592486994,1642.3658323740003,926773906.1840351,0.26563356968444785,-0.07664352539062498,-0.0023913842773437277,0.19563356968444784,0.33563356968444785,-0.08,0.08,-0.35,0.35,-0.18,0.18,8500.0,250000000.0,False,True
