tier,scenario_id,seed,density_scale,cm_alpha_scale,cm_delta_scale,cm_q_scale,actuator_lag_s,actuator_delay_s,sensor_noise_alpha_rad,sensor_noise_q_radps,sensor_noise_theta_rad,initial_alpha_error_rad,initial_q_error_radps,initial_theta_error_rad,external_disturbance_moment_nm,controller,rms_alpha_error_rad,max_alpha_error_rad,rms_pitch_rate_error_radps,control_effort_abs_rad_s,flap_saturation_fraction,flap_rate_saturation_fraction,alpha_violation_count,pitch_rate_violation_count,solver_failure,unstable_response,failure_label,first_alpha_violation_time_s,first_alpha_violation_side,max_alpha_corridor_miss_rad,max_q_corridor_miss_radps,alpha_violation_duration_s,q_violation_duration_s,first_alpha_violation_before_three_updates,mean_solve_time_s,p95_solve_time_s,control_dt_s,horizon_steps,planning_alpha_buffer_rad,scenario_count_requested,reference_duration_s,trajectory_csv,metrics_json
moderate,1,56,1.067837814989062,0.8550708443435929,1.1923204271077104,1.08984168484952,0.19047425565328424,0.0,0.001819893511792798,0.0005389072581292835,0.0017670007129131713,-0.042169232542380676,0.037161912636399425,0.003739433990046943,1888.1114567916945,corridor_barrier_nmpc,0.046299259088514386,0.08849546048875045,0.042367575201179807,46.17574403343387,0.0,0.0,66,0,False,False,alpha_corridor_violation,54.5,low,0.018495460488750448,0.0,33.0,0.0,False,0.03218671556843613,0.03817099996376783,0.5,10,0.015,12,160.0,outputs/phase16_success_recovery/moderate/scenario_001/corridor_barrier_nmpc/trajectory.csv,outputs/phase16_success_recovery/moderate/scenario_001/corridor_barrier_nmpc/metrics.json
moderate,1,56,1.067837814989062,0.8550708443435929,1.1923204271077104,1.08984168484952,0.19047425565328424,0.0,0.001819893511792798,0.0005389072581292835,0.0017670007129131713,-0.042169232542380676,0.037161912636399425,0.003739433990046943,1888.1114567916945,success_recovery_nmpc,0.04622903240865572,0.08849615559510016,0.04245027951770958,46.405017204319535,0.0,0.0,66,0,False,False,alpha_corridor_violation,54.5,low,0.01849615559510015,0.0,33.0,0.0,False,0.03249617576645542,0.03797295899130404,0.5,10,0.012,12,160.0,outputs/phase16_success_recovery/moderate/scenario_001/success_recovery_nmpc/trajectory.csv,outputs/phase16_success_recovery/moderate/scenario_001/success_recovery_nmpc/metrics.json
moderate,2,57,1.0552500109466625,0.9904935904652705,1.1364934679007512,0.9361279231434767,0.13783755517640428,0.5,0.0012876544132459234,0.0010895091536253408,0.0008726206962965641,-0.03988767505303118,0.0403012765601704,-0.0006989770439637954,2243.631407086245,nominal_nmpc_2s,0.0434315289175078,0.07091978712364713,0.04294697757754733,49.15211531638185,0.0,0.09034267912772585,0,0,False,False,success,,none,0.0009197871236471256,0.0,0.0,0.0,False,0.031096805062397946,0.03496662498218939,2.0,10,0.0,12,160.0,outputs/phase16_success_recovery/moderate/scenario_002/nominal_nmpc_2s/trajectory.csv,outputs/phase16_success_recovery/moderate/scenario_002/nominal_nmpc_2s/metrics.json
moderate,2,57,1.0552500109466625,0.9904935904652705,1.1364934679007512,0.9361279231434767,0.13783755517640428,0.5,0.0012876544132459234,0.0010895091536253408,0.0008726206962965641,-0.03988767505303118,0.0403012765601704,-0.0006989770439637954,2243.631407086245,fast_nmpc_1s,0.039567868181189,0.07136042765764553,0.043933791887609104,46.24946031075274,0.0,0.11526479750778816,8,0,False,False,alpha_corridor_violation,68.0,low,0.0013604276576455188,0.0,4.0,0.0,False,0.03126385812293333,0.035900625050999224,1.0,10,0.0,12,160.0,outputs/phase16_success_recovery/moderate/scenario_002/fast_nmpc_1s/trajectory.csv,outputs/phase16_success_recovery/moderate/scenario_002/fast_nmpc_1s/metrics.json
moderate,2,57,1.0552500109466625,0.9904935904652705,1.1364934679007512,0.9361279231434767,0.13783755517640428,0.5,0.0012876544132459234,0.0010895091536253408,0.0008726206962965641,-0.03988767505303118,0.0403012765601704,-0.0006989770439637954,2243.631407086245,fast_nmpc_0p5s,0.03877403917332681,0.07163141606404586,0.04431091750524039,45.9628271495768,0.0,0.021806853582554516,11,0,False,False,alpha_corridor_violation,67.0,low,0.0016314160640458486,0.0,5.5,0.0,False,0.03130274566907343,0.03497983398847282,0.5,10,0.0,12,160.0,outputs/phase16_success_recovery/moderate/scenario_002/fast_nmpc_0p5s/trajectory.csv,outputs/phase16_success_recovery/moderate/scenario_002/fast_nmpc_0p5s/metrics.json
moderate,2,57,1.0552500109466625,0.9904935904652705,1.1364934679007512,0.9361279231434767,0.13783755517640428,0.5,0.0012876544132459234,0.0010895091536253408,0.0008726206962965641,-0.03988767505303118,0.0403012765601704,-0.0006989770439637954,2243.631407086245,corridor_centered_nmpc,0.03783166561729823,0.07160748648876653,0.045020466430834946,46.67194726700907,0.0,0.028037383177570093,11,0,False,False,alpha_corridor_violation,67.0,low,0.0016074864887665186,0.0,5.5,0.0,False,0.031348548291723975,0.035524291975889355,0.5,10,0.0,12,160.0,outputs/phase16_success_recovery/moderate/scenario_002/corridor_centered_nmpc/trajectory.csv,outputs/phase16_success_recovery/moderate/scenario_002/corridor_centered_nmpc/metrics.json
moderate,2,57,1.0552500109466625,0.9904935904652705,1.1364934679007512,0.9361279231434767,0.13783755517640428,0.5,0.0012876544132459234,0.0010895091536253408,0.0008726206962965641,-0.03988767505303118,0.0403012765601704,-0.0006989770439637954,2243.631407086245,corridor_barrier_nmpc,0.03788743022558569,0.07158787950340223,0.04489891243098746,46.35038965513992,0.0,0.04361370716510903,11,0,False,False,alpha_corridor_violation,67.0,low,0.001587879503402223,0.0,5.5,0.0,False,0.0325122746701332,0.03868558304384351,0.5,10,0.015,12,160.0,outputs/phase16_success_recovery/moderate/scenario_002/corridor_barrier_nmpc/trajectory.csv,outputs/phase16_success_recovery/moderate/scenario_002/corridor_barrier_nmpc/metrics.json
moderate,2,57,1.0552500109466625,0.9904935904652705,1.1364934679007512,0.9361279231434767,0.13783755517640428,0.5,0.0012876544132459234,0.0010895091536253408,0.0008726206962965641,-0.03988767505303118,0.0403012765601704,-0.0006989770439637954,2243.631407086245,success_recovery_nmpc,0.03784071677725259,0.07163723134119346,0.04502754032201168,47.16017635246225,0.0,0.028037383177570093,11,0,False,False,alpha_corridor_violation,67.0,low,0.0016372313411934514,0.0,5.5,0.0,False,0.03237470293129617,0.03809650003677234,0.5,10,0.012,12,160.0,outputs/phase16_success_recovery/moderate/scenario_002/success_recovery_nmpc/trajectory.csv,outputs/phase16_success_recovery/moderate/scenario_002/success_recovery_nmpc/metrics.json
moderate,3,58,0.9427035401698733,1.1139500827692312,0.8972365808628847,0.8833681862461437,0.2960345266189571,1.0,0.0009159976169144701,0.00020772178158287347,0.001579716448980541,-0.02224949176908563,0.04723591983330609,-0.009198019703474421,2252.732574594433,nominal_nmpc_2s,0.036579973672165825,0.07746894545256258,0.04832424504952386,51.29003050746912,0.0,0.04672897196261682,21,0,False,False,alpha_corridor_violation,8.5,high,0.007468945452562575,0.0,10.5,0.0,False,0.030952669233141213,0.03585654200287536,2.0,10,0.0,12,160.0,outputs/phase16_success_recovery/moderate/scenario_003/nominal_nmpc_2s/trajectory.csv,outputs/phase16_success_recovery/moderate/scenario_003/nominal_nmpc_2s/metrics.json
moderate,3,58,0.9427035401698733,1.1139500827692312,0.8972365808628847,0.8833681862461437,0.2960345266189571,1.0,0.0009159976169144701,0.00020772178158287347,0.001579716448980541,-0.02224949176908563,0.04723591983330609,-0.009198019703474421,2252.732574594433,fast_nmpc_1s,0.034764516207478884,0.07747561262045813,0.04891019302833477,48.44673274870687,0.0,0.03426791277258567,21,0,False,False,alpha_corridor_violation,8.5,high,0.007475612620458122,0.0,10.5,0.0,False,0.031276037503302864,0.03733512503094971,1.0,10,0.0,12,160.0,outputs/phase16_success_recovery/moderate/scenario_003/fast_nmpc_1s/trajectory.csv,outputs/phase16_success_recovery/moderate/scenario_003/fast_nmpc_1s/metrics.json
