tier,scenario_id,seed,density_scale,cm_alpha_scale,cm_delta_scale,cm_q_scale,actuator_lag_s,actuator_delay_s,sensor_noise_alpha_rad,sensor_noise_q_radps,sensor_noise_theta_rad,initial_alpha_error_rad,initial_q_error_radps,initial_theta_error_rad,external_disturbance_moment_nm,controller,rms_alpha_error_rad,max_alpha_error_rad,rms_pitch_rate_error_radps,control_effort_abs_rad_s,flap_saturation_fraction,flap_rate_saturation_fraction,alpha_violation_count,pitch_rate_violation_count,solver_failure,unstable_response,failure_label,trajectory_csv,metrics_json,alpha_tightening_margin_rad,q_tightening_margin_radps
moderate,10,65,0.8642174456390412,1.005466653261876,0.9499434253485177,0.8914714093255712,0.32960311763802463,0.5,0.0008365525317918986,6.46762207459785e-05,0.00043271742188083696,-0.04968044093642936,0.042852932412735696,-0.01897115270827847,2221.850917262168,tightened_nmpc,0.03561792508623115,0.060171262167563355,0.04592530480820981,52.43705494030324,0.0,0.08099688473520249,0,0,False,False,success,outputs/phase6_robust_mpc/moderate/scenario_010/trajectory.csv,outputs/phase6_robust_mpc/moderate/scenario_010/metrics.json,0.035,0.01
moderate,11,66,1.1271201633807792,1.057845439337298,0.8291739104917131,1.0497015221724948,0.165381683907133,1.0,0.00030848479803221776,0.0006562873235056894,0.001380134036191736,-0.02273632069936974,0.05238554387091182,0.0011889161663444536,-1809.8046884581565,tightened_nmpc,0.05137547609458577,0.09327803779142563,0.04533671006106684,48.80974761019855,0.0,0.11838006230529595,36,0,False,False,alpha_corridor_violation,outputs/phase6_robust_mpc/moderate/scenario_011/trajectory.csv,outputs/phase6_robust_mpc/moderate/scenario_011/metrics.json,0.035,0.01
moderate,12,67,0.9742994499706756,0.8880814906600227,1.005594014324681,0.9188970487207432,0.2093129332072963,1.0,0.0009248828062737953,0.0005329510920348585,0.00026554965141795784,-0.022633174516965053,0.04101814378974161,-0.019519453129244125,1586.2498674008762,tightened_nmpc,0.04260477093590573,0.07517256603996234,0.043432210737134144,50.93730925923756,0.0,0.09345794392523364,30,0,False,False,alpha_corridor_violation,outputs/phase6_robust_mpc/moderate/scenario_012/trajectory.csv,outputs/phase6_robust_mpc/moderate/scenario_012/metrics.json,0.035,0.01
moderate,13,68,0.9953100174539699,1.1044978823659257,1.0694089087940948,1.0504963097063043,0.34153615576448204,1.0,0.0003907120550084717,0.0007890702151280241,0.0018365108228233394,-0.04466830271818796,0.03982358572394496,0.009962517695321185,2230.4093558581844,tightened_nmpc,0.0416350078098927,0.07369753487619621,0.04321729087379926,51.128274821829045,0.0,0.09345794392523364,23,0,False,False,alpha_corridor_violation,outputs/phase6_robust_mpc/moderate/scenario_013/trajectory.csv,outputs/phase6_robust_mpc/moderate/scenario_013/metrics.json,0.035,0.01
moderate,14,69,1.0241117125647023,1.0080556107458336,1.1459846635147866,1.0939041651242745,0.16680469402583797,1.0,0.0016339043283467127,0.0006561236469276164,2.535331373743066e-05,-0.02964578879090854,0.052276271674726246,0.00823710896096232,2310.546642572015,tightened_nmpc,0.04090147439725347,0.09871520752120089,0.05157132387159384,52.2199342960146,0.0,0.06542056074766354,46,0,False,False,alpha_corridor_violation,outputs/phase6_robust_mpc/moderate/scenario_014/trajectory.csv,outputs/phase6_robust_mpc/moderate/scenario_014/metrics.json,0.035,0.01
moderate,15,70,0.9642204535645428,1.0671417552736013,0.9288757304983914,1.1860895825578432,0.25912132182742664,0.5,0.0006226568047982962,4.374910828114309e-06,0.002352794545105728,-0.04300495120735941,0.03685923387217385,-0.00622084602307651,-1648.6330462802107,tightened_nmpc,0.08122016300837308,0.13333979560765788,0.03423410227167013,51.30480517589619,0.0,0.09034267912772585,148,0,False,False,alpha_corridor_violation,outputs/phase6_robust_mpc/moderate/scenario_015/trajectory.csv,outputs/phase6_robust_mpc/moderate/scenario_015/metrics.json,0.035,0.01
moderate,16,71,0.9260241032311908,1.0082616506939277,1.104394623500175,1.0539044250163887,0.07146035042271176,0.0,0.0015694963232778622,0.0003021177609268611,0.001776891772332004,-0.04883518855349546,0.05271283543694008,-0.004926293435419682,-930.9857138338967,tightened_nmpc,0.046633466956569135,0.09433269108926054,0.04702126435381855,50.3686645849135,0.0,0.14641744548286603,37,0,False,False,alpha_corridor_violation,outputs/phase6_robust_mpc/moderate/scenario_016/trajectory.csv,outputs/phase6_robust_mpc/moderate/scenario_016/metrics.json,0.035,0.01
moderate,17,72,1.10135102034214,0.8520025368035228,0.8925793022278865,0.8456942178381268,0.2504541557655864,0.5,0.0017199235130644019,7.783626385904558e-05,0.0008739507574789569,-0.021392285076914555,0.05470143151601368,-0.0060694507951638025,917.2819730219906,tightened_nmpc,0.04457127267705861,0.10735076304822816,0.05140781372759034,51.0107947381768,0.0,0.07165109034267912,52,0,False,False,alpha_corridor_violation,outputs/phase6_robust_mpc/moderate/scenario_017/trajectory.csv,outputs/phase6_robust_mpc/moderate/scenario_017/metrics.json,0.035,0.01
moderate,18,73,0.9977908567864578,0.941010261358429,0.9074271124815184,1.194062858536881,0.07696193703320789,0.5,0.0025640913291227873,0.00025623689872175366,0.0025300887416886,-0.02830285004668156,0.03813411794899975,-0.015854169044594447,-235.45704685535296,tightened_nmpc,0.06401054098865222,0.10997006660455175,0.037995286359048065,51.846348524618776,0.0,0.09034267912772585,109,0,False,False,alpha_corridor_violation,outputs/phase6_robust_mpc/moderate/scenario_018/trajectory.csv,outputs/phase6_robust_mpc/moderate/scenario_018/metrics.json,0.035,0.01
moderate,19,74,1.1183134805316721,1.006216285054576,1.0705616557853193,1.0676795752504191,0.19769333141785744,0.5,1.1917964336129016e-05,0.0011225632749167018,0.0029069938956347873,-0.02665816704073959,0.046839919690817626,0.018480748419728115,583.4377275653063,tightened_nmpc,0.043003506706478345,0.072972188208967,0.04518755143441403,48.83570852717889,0.0,0.14018691588785046,11,0,False,False,alpha_corridor_violation,outputs/phase6_robust_mpc/moderate/scenario_019/trajectory.csv,outputs/phase6_robust_mpc/moderate/scenario_019/metrics.json,0.035,0.01
moderate,20,75,0.9139875044578593,0.8959387140489857,1.0657001810096507,1.0737327034910578,0.32660754081032123,0.5,0.002780587108406105,0.0014209251648662179,0.0026003339509684193,-0.04962194048796585,0.04481641846756807,0.012921811856248388,-2386.6701131490518,tightened_nmpc,0.064575881279498,0.10669387587879128,0.039312956730425314,48.69893618683518,0.0,0.1557632398753894,108,0,False,False,alpha_corridor_violation,outputs/phase6_robust_mpc/moderate/scenario_020/trajectory.csv,outputs/phase6_robust_mpc/moderate/scenario_020/metrics.json,0.035,0.01
moderate,21,76,1.0918994527472485,1.1456569918527775,1.0729598965872842,1.0883542027304094,0.027339897603273426,0.0,0.001685194547250858,0.0014501173465736876,0.0006696134183233629,-0.0395062865374655,0.04033680011171257,-0.017731595044067232,-875.2161367207173,tightened_nmpc,0.06391772153171224,0.10851312456668058,0.03842717551295472,49.32848009323574,0.0,0.14953271028037382,108,0,False,False,alpha_corridor_violation,outputs/phase6_robust_mpc/moderate/scenario_021/trajectory.csv,outputs/phase6_robust_mpc/moderate/scenario_021/metrics.json,0.035,0.01
moderate,22,77,1.0857796925627479,1.0153515867400944,0.8975552787813753,0.9337812825911712,0.1115415692187238,0.5,0.0024039020389270815,0.00013620245998751984,0.0011208731782933932,-0.026260312992074958,0.05172342929136724,0.004159001575210968,-1846.2608359159615,tightened_nmpc,0.0514725829760853,0.09019012973140564,0.044942236649025295,49.63396440468229,0.0,0.11838006230529595,43,0,False,False,alpha_corridor_violation,outputs/phase6_robust_mpc/moderate/scenario_022/trajectory.csv,outputs/phase6_robust_mpc/moderate/scenario_022/metrics.json,0.035,0.01
moderate,23,78,0.9756589263490966,1.1245405911368507,1.007246608108957,1.134851281548517,0.13031717770780502,0.5,0.0011392070187764415,0.00048621161205069274,0.0017426124876274104,-0.029804071435873502,0.05355477431251187,-0.010069598855220723,1069.821977190234,tightened_nmpc,0.043456187491998484,0.10216154225563559,0.05042430799922702,48.53731428188044,0.0,0.11526479750778816,47,0,False,False,alpha_corridor_violation,outputs/phase6_robust_mpc/moderate/scenario_023/trajectory.csv,outputs/phase6_robust_mpc/moderate/scenario_023/metrics.json,0.035,0.01
moderate,24,79,1.1258807162130564,0.8714867820419543,1.1692325416008753,0.814298624388897,0.030615126601149022,1.0,0.0014331024173763914,0.0005624939809914936,0.0003099352822662108,-0.031360551256634006,0.04678513740266193,0.0047522221300642055,-1944.0632265947372,tightened_nmpc,0.05646979728106886,0.09223796297502226,0.04167531699655976,50.1753375111816,0.0,0.11526479750778816,80,0,False,False,alpha_corridor_violation,outputs/phase6_robust_mpc/moderate/scenario_024/trajectory.csv,outputs/phase6_robust_mpc/moderate/scenario_024/metrics.json,0.035,0.01
moderate,25,80,1.070947399403036,0.8555256390479212,0.8146534837506187,1.0378828917129967,0.20499977511052314,0.5,0.0019144016567179732,0.0011632872232517032,0.0022357993679349695,-0.04535989636464315,0.05340989691901187,-0.007916318535278829,544.330522248232,tightened_nmpc,0.04249702716559644,0.09991889154275643,0.050142774620948655,51.257710950914,0.0,0.12461059190031153,44,0,False,False,alpha_corridor_violation,outputs/phase6_robust_mpc/moderate/scenario_025/trajectory.csv,outputs/phase6_robust_mpc/moderate/scenario_025/metrics.json,0.035,0.01
moderate,26,81,0.9802339873316895,0.9134884968893588,1.1648149276757236,1.04418569509029,0.15559087089782156,0.5,0.0013961163455871609,0.00014605960068973345,0.0008346915058060365,-0.04864821677376013,0.05486981482024496,0.008688344072817334,-455.64376166496834,tightened_nmpc,0.04608751939291091,0.10433475402060821,0.04923257631184633,50.83372068681899,0.0,0.1059190031152648,46,0,False,False,alpha_corridor_violation,outputs/phase6_robust_mpc/moderate/scenario_026/trajectory.csv,outputs/phase6_robust_mpc/moderate/scenario_026/metrics.json,0.035,0.01
moderate,27,82,1.1492916257155794,1.1064363846779492,0.8870745597343758,1.1920581651836084,0.14300614316998417,1.0,0.0006719056401975203,0.00045800719272121265,0.0028565153805100423,-0.04565584646376688,0.04691304339545236,-0.005618167484813594,1813.3132180288903,tightened_nmpc,0.03775965562812599,0.07398453237264069,0.047008665948170214,50.9908163992281,0.0,0.09034267912772585,14,0,False,False,alpha_corridor_violation,outputs/phase6_robust_mpc/moderate/scenario_027/trajectory.csv,outputs/phase6_robust_mpc/moderate/scenario_027/metrics.json,0.035,0.01
moderate,28,83,0.9449242959553005,0.8633814579028736,1.0516372919364707,0.9229924153907075,0.11996233528314156,0.5,0.0026639599709632816,0.0006104370627121915,0.001115212476995282,-0.03212549070948847,0.04635240003745487,0.002587753645178541,972.8012383179068,tightened_nmpc,0.039556526636367884,0.07119190755471097,0.046009767481116064,51.05844732835162,0.0,0.09968847352024922,3,0,False,False,alpha_corridor_violation,outputs/phase6_robust_mpc/moderate/scenario_028/trajectory.csv,outputs/phase6_robust_mpc/moderate/scenario_028/metrics.json,0.035,0.01
moderate,29,84,1.0696294716783745,1.1200610988195503,1.099715581772791,1.1535742191160263,0.07960960432354232,0.0,0.0019463869562487603,0.0004242783563313396,0.000848639165457846,-0.024806855750437326,0.04086951489366636,-0.004661681111193499,-420.93059440356905,tightened_nmpc,0.058981686114259205,0.10055326190671571,0.039516355213995526,49.91845128172583,0.0,0.14330218068535824,94,0,False,False,alpha_corridor_violation,outputs/phase6_robust_mpc/moderate/scenario_029/trajectory.csv,outputs/phase6_robust_mpc/moderate/scenario_029/metrics.json,0.035,0.01
stress,0,10055,0.8378955015168319,0.8134079790400522,0.7897704751772718,0.6506121034875804,0.25618239868043924,1.5,0.00549036831476468,0.0016894853408081832,0.007680079439061039,-0.004471479429947158,0.06201083925618894,0.04666073176012917,-2194.1579157675574,tightened_nmpc,0.05690280435318465,0.13486154472275505,0.05206805066283359,49.69335827765886,0.0,0.12149532710280374,65,0,False,False,alpha_corridor_violation,outputs/phase6_robust_mpc/stress/scenario_000/trajectory.csv,outputs/phase6_robust_mpc/stress/scenario_000/metrics.json,0.035,0.01
stress,1,10056,0.9303608946512464,0.8454174308359381,1.2293875720674339,0.6485713174581409,0.6573352173100183,1.0,0.003974919790454923,0.001090421166685319,0.006246505115645126,-0.06077663813443997,0.04369178412569492,0.011423261993863554,-68.50071747811049,tightened_nmpc,0.04873412899051119,0.08258943609284367,0.0424855765834341,48.504259794707686,0.0,0.12461059190031153,55,0,False,False,alpha_corridor_violation,outputs/phase6_robust_mpc/stress/scenario_001/trajectory.csv,outputs/phase6_robust_mpc/stress/scenario_001/metrics.json,0.035,0.01
stress,2,10057,0.8866800433930975,0.9276352786236607,0.7499245797839396,0.7309926130233437,0.2586107576985939,1.0,0.004478437066488493,0.0012923100994562892,0.005160534056958272,-0.041606195997913514,0.04669296781546167,-0.02284003464815019,6107.333239994104,tightened_nmpc,0.053873141269672326,0.08140724189342433,0.05921682683155815,55.48241040290037,0.0,0.009345794392523364,90,0,False,True,unstable_response,outputs/phase6_robust_mpc/stress/scenario_002/trajectory.csv,outputs/phase6_robust_mpc/stress/scenario_002/metrics.json,0.035,0.01
stress,3,10058,0.8400348122237011,0.7368166561589482,1.098880145389692,0.9663426523519489,0.4807149936858969,1.5,0.007381684733804169,0.0039628751550082695,0.0015802535717956004,-0.027669301938465292,0.05848110963791403,0.030446402496627712,-2492.964583448316,tightened_nmpc,0.053566724427683135,0.11791709584898705,0.048930977472829804,44.27764492294356,0.0,0.2772585669781931,53,0,False,False,alpha_corridor_violation,outputs/phase6_robust_mpc/stress/scenario_003/trajectory.csv,outputs/phase6_robust_mpc/stress/scenario_003/metrics.json,0.035,0.01
stress,4,10059,0.8509073964985324,1.2873305783786486,0.9606049484890203,1.0118767760127751,0.5166991460718621,0.5,0.006164815211880045,0.0011326046514041968,0.004759177439206194,-0.01840710398592175,0.042661375658847187,-0.003392551809463007,821.4320826283194,tightened_nmpc,0.04707892785584359,0.07862559057487412,0.04265690026345775,49.68873449064084,0.0,0.11838006230529595,45,0,False,False,alpha_corridor_violation,outputs/phase6_robust_mpc/stress/scenario_004/trajectory.csv,outputs/phase6_robust_mpc/stress/scenario_004/metrics.json,0.035,0.01
stress,5,10060,0.9630926665140382,1.1606808963757862,1.2216221031121512,0.9657950551141605,0.3224799759664272,1.0,0.006069995815700608,0.0016087017017584922,0.0017684969281546899,-0.05160326416450517,0.051596152396489146,0.014929206449208754,-769.1851361540372,tightened_nmpc,0.04592203163061286,0.08960830603120301,0.04656692905056677,48.90159797033249,0.0,0.12461059190031153,33,0,False,False,alpha_corridor_violation,outputs/phase6_robust_mpc/stress/scenario_005/trajectory.csv,outputs/phase6_robust_mpc/stress/scenario_005/metrics.json,0.035,0.01
stress,6,10061,1.0369246295704622,0.9031157990996579,1.1733945453004238,1.0846015290208744,0.26976703989394807,0.5,0.0021652652844114015,0.0020134855485208114,0.0073158945485747315,-0.020709418677945006,0.03373279835109744,0.021556087188663975,-4575.918643044272,tightened_nmpc,0.11851528241745225,0.1830522238952894,0.026591956694970192,52.03454435738338,0.0,0.07476635514018691,199,0,False,False,alpha_corridor_violation,outputs/phase6_robust_mpc/stress/scenario_006/trajectory.csv,outputs/phase6_robust_mpc/stress/scenario_006/metrics.json,0.035,0.01
stress,7,10062,1.2089415706681728,1.0388272811690047,1.3554360679161346,1.3044208428948538,0.5192310882170614,0.5,0.0026701265000948606,0.0005495050286051618,0.003951881981624145,-0.02856479410371991,0.06863168780382735,0.03341671052271779,3459.989578338532,tightened_nmpc,0.09121270269558426,0.17179059261818092,0.06636558540230712,54.13137642078737,0.0,0.040498442367601244,147,0,False,True,unstable_response,outputs/phase6_robust_mpc/stress/scenario_007/trajectory.csv,outputs/phase6_robust_mpc/stress/scenario_007/metrics.json,0.035,0.01
stress,8,10063,0.8335060423399854,0.7696806349912375,0.9305283352741281,1.2375055536530342,0.5503909427735989,1.5,0.0044337869270696635,0.0032557376219124403,0.006310158083378462,-0.03685153363557458,0.03625405135993723,-0.02996141992935113,-2133.7130355660106,tightened_nmpc,0.08642446859883819,0.14114101491847741,0.03325457588521962,50.18593989513073,0.0,0.09034267912772585,157,0,False,False,alpha_corridor_violation,outputs/phase6_robust_mpc/stress/scenario_008/trajectory.csv,outputs/phase6_robust_mpc/stress/scenario_008/metrics.json,0.035,0.01
stress,9,10064,1.281899664862359,1.0562693030570327,1.032465990952283,0.8263156380567156,0.3503435486143336,0.5,0.0039973642229913595,0.0017128917307545973,0.0028295231143715465,-0.018142358005888995,0.056068559117104726,-0.03378990511339164,1788.0146016570297,tightened_nmpc,0.04846206181729415,0.11465290559748695,0.052641747450079164,51.56118138920599,0.0,0.1059190031152648,58,0,False,True,unstable_response,outputs/phase6_robust_mpc/stress/scenario_009/trajectory.csv,outputs/phase6_robust_mpc/stress/scenario_009/metrics.json,0.035,0.01
