controller,horizon_steps,control_frequency_hz,warm_start,sample_count,mean_solve_time_ms,median_solve_time_ms,p95_solve_time_ms,max_solve_time_ms,mean_nn_inference_time_ms,mean_total_loop_time_ms,median_total_loop_time_ms,p95_total_loop_time_ms,max_total_loop_time_ms,solver_failure_rate,budget_10hz_ms,budget_20hz_ms,budget_50hz_ms,meets_10hz_budget_p95,meets_20hz_budget_p95,meets_50hz_budget_p95,success_rate,performance_source
nominal_nmpc,15,10.0,False,5,41.49255038937554,41.69933398952708,44.89885839866474,45.66800000611693,0.0,82.80235859565437,83.57404201524332,85.18801721511409,85.53245902294293,0.0,100.0,50.0,20.0,True,False,False,0.1,phase12_learning_augmented_mpc
nominal_nmpc,15,20.0,False,5,40.520233393181115,40.99720902740955,41.489700379315764,41.606333979871124,0.0,83.63355018664151,83.0425419844687,85.4539756081067,85.67645901348442,0.0,100.0,50.0,20.0,True,False,False,0.1,phase12_learning_augmented_mpc
nominal_nmpc,15,50.0,False,5,39.26215837709606,39.04820897150785,40.468533569946885,40.495416964404285,0.0,81.11447520786896,80.81387501442805,83.09832562226802,83.121084026061,0.0,100.0,50.0,20.0,True,False,False,0.1,phase12_learning_augmented_mpc
pid,5,10.0,False,5,0.014958204701542854,0.014666002243757248,0.021024630405008793,0.02254103310406208,0.0,0.5663665826432407,0.5009169690310955,0.8037577965296805,0.8660409948788583,0.0,100.0,50.0,20.0,True,True,True,0.05,phase5_monte_carlo
pid,5,20.0,False,5,0.011575000826269388,0.007207971066236496,0.024850189220160242,0.028166978154331446,0.0,0.3924417891539633,0.39295904571190476,0.4274663981050253,0.4360830062068999,0.0,100.0,50.0,20.0,True,True,True,0.05,phase5_monte_carlo
pid,5,50.0,False,5,0.01214159419760108,0.013833981938660145,0.0187002238817513,0.019667029846459627,0.0,0.43569979025051,0.3977909800596535,0.5434915772639215,0.565374968573451,0.0,100.0,50.0,20.0,True,True,True,0.05,phase5_monte_carlo
pid,10,10.0,False,5,0.011858402285724878,0.011167023330926895,0.016816414427012205,0.01733301905915141,0.0,0.44072498567402363,0.4122090176679194,0.5398917943239212,0.5666670040227473,0.0,100.0,50.0,20.0,True,True,True,0.05,phase5_monte_carlo
pid,10,20.0,False,5,0.007299997378140688,0.005416979547590017,0.013391626998782156,0.015125027857720852,0.0,0.38506679702550173,0.37516700103878975,0.4174247616901994,0.42520795250311494,0.0,100.0,50.0,20.0,True,True,True,0.05,phase5_monte_carlo
pid,10,50.0,False,5,0.005816423799842596,0.004791014362126589,0.00894962577149272,0.009833020158112049,0.0,0.3688413999043405,0.3671660088002682,0.37797519471496344,0.38066698471084237,0.0,100.0,50.0,20.0,True,True,True,0.05,phase5_monte_carlo
pid,15,10.0,False,5,0.009783392306417227,0.00833295052871108,0.01601718831807375,0.017208978533744812,0.0,0.4267666023224592,0.38641702849417925,0.565607997123152,0.6072079995647073,0.0,100.0,50.0,20.0,True,True,True,0.05,phase5_monte_carlo
pid,15,20.0,False,5,0.01106681302189827,0.008374976459890604,0.01764182234182954,0.01875002635642886,0.0,0.4245166084729135,0.38179202238097787,0.5568832042627037,0.596500001847744,0.0,100.0,50.0,20.0,True,True,True,0.05,phase5_monte_carlo
pid,15,50.0,False,5,0.006325007416307926,0.005332985892891884,0.009983230847865341,0.011083029676228762,0.0,0.3718833904713392,0.365916988812387,0.38860017666593194,0.39004196878522635,0.0,100.0,50.0,20.0,True,True,True,0.05,phase5_monte_carlo
residual_corrected_nmpc,5,10.0,False,5,16.47814119933173,16.543540987186134,17.36588323256001,17.522625043056905,0.3177833859808743,32.61673318920657,32.75837498949841,33.713225182145834,33.8701669825241,0.0,100.0,50.0,20.0,True,True,False,0.1,phase12_learning_augmented_mpc
residual_corrected_nmpc,5,20.0,False,5,16.612100007478148,16.71925000846386,17.342841834761202,17.435917048715055,0.35021700896322727,33.13742500031367,33.077542029786855,33.682517206761986,33.68795901769772,0.0,100.0,50.0,20.0,True,True,False,0.1,phase12_learning_augmented_mpc
residual_corrected_nmpc,5,50.0,False,5,16.01694980636239,15.828082978259772,16.946857795119286,17.223540984559804,0.31528319232165813,32.346399989910424,32.38108300138265,32.992999989073724,32.999749993905425,0.0,100.0,50.0,20.0,True,True,False,0.1,phase12_learning_augmented_mpc
residual_corrected_nmpc,10,10.0,False,5,29.091833217535168,29.190250032115728,30.178824404720217,30.278666003141552,0.7507164031267166,58.30134160351008,58.18716698559001,58.901083609089255,58.98616701597348,0.0,100.0,50.0,20.0,True,False,False,0.1,phase12_learning_augmented_mpc
residual_corrected_nmpc,10,20.0,False,5,28.45390000147745,29.25016696099192,29.68525820178911,29.7618749900721,0.35063339164480567,57.62746660038829,58.48508403869346,59.19127480592579,59.235583001282066,0.0,100.0,50.0,20.0,True,False,False,0.1,phase12_learning_augmented_mpc
residual_corrected_nmpc,10,50.0,False,5,29.40185860497877,29.143250023480505,32.28640001034364,33.035875007044524,0.40404159808531404,58.96004178794101,58.1125839962624,63.38514998788014,64.40124998334795,0.0,100.0,50.0,20.0,True,False,False,0.1,phase12_learning_augmented_mpc
