tier,scenario_id,seed,density_scale,cm_alpha_scale,cm_delta_scale,cm_q_scale,actuator_lag_s,actuator_delay_s,sensor_noise_alpha_rad,sensor_noise_q_radps,sensor_noise_theta_rad,initial_alpha_error_rad,initial_q_error_radps,initial_theta_error_rad,external_disturbance_moment_nm,controller,rms_alpha_error_rad,max_alpha_error_rad,rms_pitch_rate_error_radps,control_effort_abs_rad_s,flap_saturation_fraction,flap_rate_saturation_fraction,alpha_violation_count,pitch_rate_violation_count,solver_failure,unstable_response,failure_label,trajectory_csv,metrics_json
moderate,26,81,0.9802339873316895,0.9134884968893588,1.1648149276757236,1.04418569509029,0.15559087089782156,0.5,0.0013961163455871609,0.00014605960068973345,0.0008346915058060365,-0.04864821677376013,0.05486981482024496,0.008688344072817334,-455.64376166496834,pid,0.05170509854994947,0.10433475399634692,0.04777249459281799,47.397101948782684,0.6386292834890965,0.3925233644859813,46,0,False,False,alpha_corridor_violation,outputs/phase5_monte_carlo/moderate/scenario_026/pid/trajectory.csv,outputs/phase5_monte_carlo/moderate/scenario_026/pid/metrics.json
moderate,26,81,0.9802339873316895,0.9134884968893588,1.1648149276757236,1.04418569509029,0.15559087089782156,0.5,0.0013961163455871609,0.00014605960068973345,0.0008346915058060365,-0.04864821677376013,0.05486981482024496,0.008688344072817334,-455.64376166496834,gain_scheduled_lqr,0.05871274789366759,0.12671760946655986,0.04715337088686935,55.65750000000001,0.9875389408099688,0.9968847352024922,78,0,False,False,alpha_corridor_violation,outputs/phase5_monte_carlo/moderate/scenario_026/gain_scheduled_lqr/trajectory.csv,outputs/phase5_monte_carlo/moderate/scenario_026/gain_scheduled_lqr/metrics.json
moderate,26,81,0.9802339873316895,0.9134884968893588,1.1648149276757236,1.04418569509029,0.15559087089782156,0.5,0.0013961163455871609,0.00014605960068973345,0.0008346915058060365,-0.04864821677376013,0.05486981482024496,0.008688344072817334,-455.64376166496834,nominal_nmpc,0.049900183941266656,0.10433475402060849,0.048496085122176805,47.125306029768154,0.0,0.04984423676012461,46,0,False,False,alpha_corridor_violation,outputs/phase5_monte_carlo/moderate/scenario_026/nominal_nmpc/trajectory.csv,outputs/phase5_monte_carlo/moderate/scenario_026/nominal_nmpc/metrics.json
moderate,27,82,1.1492916257155794,1.1064363846779492,0.8870745597343758,1.1920581651836084,0.14300614316998417,1.0,0.0006719056401975203,0.00045800719272121265,0.0028565153805100423,-0.04565584646376688,0.04691304339545236,-0.005618167484813594,1813.3132180288903,pid,0.04393099601969229,0.07398453236608002,0.045450865365314286,47.74093140710841,0.632398753894081,0.29283489096573206,14,0,False,False,alpha_corridor_violation,outputs/phase5_monte_carlo/moderate/scenario_027/pid/trajectory.csv,outputs/phase5_monte_carlo/moderate/scenario_027/pid/metrics.json
moderate,27,82,1.1492916257155794,1.1064363846779492,0.8870745597343758,1.1920581651836084,0.14300614316998417,1.0,0.0006719056401975203,0.00045800719272121265,0.0028565153805100423,-0.04565584646376688,0.04691304339545236,-0.005618167484813594,1813.3132180288903,gain_scheduled_lqr,0.04986167644244335,0.11166184040864913,0.04488119226191567,55.4825,0.9844236760124611,0.9937694704049844,40,0,False,False,alpha_corridor_violation,outputs/phase5_monte_carlo/moderate/scenario_027/gain_scheduled_lqr/trajectory.csv,outputs/phase5_monte_carlo/moderate/scenario_027/gain_scheduled_lqr/metrics.json
moderate,27,82,1.1492916257155794,1.1064363846779492,0.8870745597343758,1.1920581651836084,0.14300614316998417,1.0,0.0006719056401975203,0.00045800719272121265,0.0028565153805100423,-0.04565584646376688,0.04691304339545236,-0.005618167484813594,1813.3132180288903,nominal_nmpc,0.040944112633224186,0.07398453237267302,0.04644192786217515,48.96303640710103,0.0,0.06853582554517133,14,0,False,False,alpha_corridor_violation,outputs/phase5_monte_carlo/moderate/scenario_027/nominal_nmpc/trajectory.csv,outputs/phase5_monte_carlo/moderate/scenario_027/nominal_nmpc/metrics.json
moderate,28,83,0.9449242959553005,0.8633814579028736,1.0516372919364707,0.9229924153907075,0.11996233528314156,0.5,0.0026639599709632816,0.0006104370627121915,0.001115212476995282,-0.03212549070948847,0.04635240003745487,0.002587753645178541,972.8012383179068,pid,0.0455520869661373,0.07119190755448429,0.04438996944186635,47.20239634779121,0.3925233644859813,0.24922118380062305,3,0,False,False,alpha_corridor_violation,outputs/phase5_monte_carlo/moderate/scenario_028/pid/trajectory.csv,outputs/phase5_monte_carlo/moderate/scenario_028/pid/metrics.json
moderate,28,83,0.9449242959553005,0.8633814579028736,1.0516372919364707,0.9229924153907075,0.11996233528314156,0.5,0.0026639599709632816,0.0006104370627121915,0.001115212476995282,-0.03212549070948847,0.04635240003745487,0.002587753645178541,972.8012383179068,gain_scheduled_lqr,0.051072185459095976,0.1007302695543496,0.04362146603352223,55.65750000000001,0.9875389408099688,0.9968847352024922,22,0,False,False,alpha_corridor_violation,outputs/phase5_monte_carlo/moderate/scenario_028/gain_scheduled_lqr/trajectory.csv,outputs/phase5_monte_carlo/moderate/scenario_028/gain_scheduled_lqr/metrics.json
moderate,28,83,0.9449242959553005,0.8633814579028736,1.0516372919364707,0.9229924153907075,0.11996233528314156,0.5,0.0026639599709632816,0.0006104370627121915,0.001115212476995282,-0.03212549070948847,0.04635240003745487,0.002587753645178541,972.8012383179068,nominal_nmpc,0.04218302549554898,0.07119190755640281,0.04546504601450536,49.86369588151708,0.0,0.06230529595015576,3,0,False,False,alpha_corridor_violation,outputs/phase5_monte_carlo/moderate/scenario_028/nominal_nmpc/trajectory.csv,outputs/phase5_monte_carlo/moderate/scenario_028/nominal_nmpc/metrics.json
moderate,29,84,1.0696294716783745,1.1200610988195503,1.099715581772791,1.1535742191160263,0.07960960432354232,0.0,0.0019463869562487603,0.0004242783563313396,0.000848639165457846,-0.024806855750437326,0.04086951489366636,-0.004661681111193499,-420.93059440356905,pid,0.07424155427297087,0.10689102522147503,0.03616303509022222,30.601277408509702,0.19937694704049844,0.009345794392523364,181,0,False,False,alpha_corridor_violation,outputs/phase5_monte_carlo/moderate/scenario_029/pid/trajectory.csv,outputs/phase5_monte_carlo/moderate/scenario_029/pid/metrics.json
