tier,scenario_id,seed,controller,time_s,alpha_rad,q_radps,theta_rad,alpha_ref_rad,q_ref_radps,theta_ref_rad,alpha_min_rad,alpha_max_rad,q_min_radps,q_max_radps,alpha_error_rad,q_error_rad,theta_error_rad,mach,altitude_m,dynamic_pressure_pa,delta_flap_rad,delta_flap_raw_rad,delta_flap_rate_radps,flap_saturated,flap_rate_saturated,solver_status,solve_time_s,solver_failure,actuator_tau_prediction_s,corridor_violation
moderate,11,66,slack_oracle,10.0,0.22223611717823877,0.05228532155645233,0.6045251857400533,0.12840192043895748,-0.0005712573242187546,0.077080078125,0.05840192043895748,0.1984019204389575,-0.08,0.08,0.09383419673928128,0.052856578880671086,0.5274451076150533,20.81262440308339,81562.01171875,100.94953086698972,0.34999814797492335,0.3500000099994262,0.0,False,False,oracle_solution,0.0,False,0.665381683907133,True
moderate,11,66,slack_oracle,11.0,0.22527701606091022,0.052274400267730746,0.6568050565239316,0.13006258573388202,-0.0006241967773437523,0.076482255859375,0.06006258573388201,0.20006258573388203,-0.08,0.08,0.0952144303270282,0.0528985970450745,0.5803228006645567,20.7755818231183,81472.33837890625,102.02302244159293,0.34999950118433354,0.3500000099993387,0.0,False,False,oracle_solution,0.0,False,0.665381683907133,True
moderate,11,66,slack_oracle,12.0,0.22770749835832751,0.052263255734496,0.709073892493347,0.13185185185185186,-0.0006763745117187442,0.075831875,0.06185185185185185,0.20185185185185187,-0.08,0.08,0.09585564650647566,0.052939630246214744,0.633242017493347,20.735907258102767,81374.78125,103.20933395739617,0.34999987096102125,0.3500000099992251,0.0,False,False,oracle_solution,0.0,False,0.665381683907133,True
moderate,11,66,slack_oracle,13.0,0.22964791058970932,0.052251895055407775,0.7613314743196113,0.13376457475994513,-0.000727790527343744,0.075129697265625,0.06376457475994513,0.20376457475994514,-0.08,0.08,0.09588333582976419,0.05297968558275152,0.6862017770539863,20.693684147169208,81269.45458984375,104.51092911226299,0.34999997200577415,0.35000000999907466,0.0,False,False,oracle_solution,0.0,False,0.665381683907133,True
moderate,11,66,slack_oracle,14.0,0.2311948379653634,0.052240321164030705,0.8135775876176768,0.13579561042524005,-0.0007784448242187519,0.074376484375,0.06579561042524004,0.20579561042524006,-0.08,0.08,0.09539922754012334,0.05301876598824946,0.7392011032426768,20.64899104951369,81156.47265625,105.93054255246136,0.3499999996170605,0.3500000099988704,0.0,False,False,oracle_solution,0.0,False,0.665381683907133,True
moderate,11,66,slack_oracle,15.0,0.2324257933224173,0.052228533575526065,0.8658120191692482,0.13793981481481482,-0.000828337402343754,0.073572998046875,0.06793981481481481,0.20793981481481483,-0.08,0.08,0.09448597850760249,0.05305687097786982,0.7922390211223732,20.60190237372883,81035.94970703125,107.47119075862324,0.3500000071619466,0.35000000999858466,0.0,False,False,oracle_solution,0.0,False,0.665381683907133,True
moderate,11,66,slack_oracle,16.0,0.2334029806961578,0.05221652897355342,0.9180345538093686,0.1401920438957476,-0.0008774682617187501,0.07272,0.0701920438957476,0.2101920438957476,-0.08,0.08,0.0932109368004102,0.05309399723527217,0.8453145538093686,20.552488952527018,80908.0,109.13618242118898,0.35000000922344754,0.35000000999816966,0.0,False,False,oracle_solution,0.0,False,0.665381683907133,True
moderate,11,66,slack_oracle,17.0,0.23417631613830225,0.05220430167106104,0.9702449718344391,0.1425471536351166,-0.0009258374023437543,0.071818251953125,0.0725471536351166,0.21254715363511661,-0.08,0.08,0.09162916250318565,0.053130139073404796,0.8984267198813142,20.500818503759668,80772.73779296875,110.92912869447922,0.3500000097864698,0.35000000999753833,0.0,False,False,oracle_solution,0.0,False,0.665381683907133,True
moderate,11,66,slack_oracle,18.0,0.23478585235824048,0.05219184397083316,1.0224430468190515,0.145,-0.0009734448242187527,0.070868515625,0.07499999999999998,0.215,-0.08,0.08,0.08978585235824049,0.05316528879505191,0.9515745311940516,20.44695600594777,80630.27734375,112.85395359761522,0.35000000993986197,0.3500000099965194,0.0,False,False,oracle_solution,0.0,False,0.665381683907133,True
moderate,11,66,slack_oracle,19.0,0.23526372483834518,0.052179146446060254,1.074628543751918,0.147545438957476,-0.0010202905273437451,0.069871552734375,0.07754543895747598,0.217545438957476,-0.08,0.08,0.08771828588086919,0.053199436973404,1.0047569910175431,20.39096400829609,80480.73291015625,114.91490475208458,0.35000000998103725,0.35000000999474284,0.0,False,False,oracle_solution,0.0,False,0.665381683907133,True
