tier,scenario_id,seed,density_scale,cm_alpha_scale,cm_delta_scale,cm_q_scale,actuator_lag_s,actuator_delay_s,sensor_noise_alpha_rad,sensor_noise_q_radps,sensor_noise_theta_rad,initial_alpha_error_rad,initial_q_error_radps,initial_theta_error_rad,external_disturbance_moment_nm,controller,rms_alpha_error_rad,max_alpha_error_rad,rms_pitch_rate_error_radps,control_effort_abs_rad_s,flap_saturation_fraction,flap_rate_saturation_fraction,alpha_violation_count,pitch_rate_violation_count,solver_failure,unstable_response,failure_label,first_alpha_violation_time_s,first_alpha_violation_side,max_alpha_corridor_miss_rad,max_q_corridor_miss_radps,alpha_violation_duration_s,q_violation_duration_s,first_alpha_violation_before_three_updates,mean_solve_time_s,p95_solve_time_s,controlled_recovery,controlled_recovery_max_alpha_miss_rad,controlled_recovery_max_q_miss_radps,mean_predicted_alpha_slack_rad,mean_predicted_q_slack_radps,trajectory_csv,metrics_json
moderate,5,60,0.9472851438103829,0.8581439175685014,0.8218883549768894,1.1961966085206186,0.3021514856561525,1.0,0.002904553797721493,0.0014873038666191403,0.0011797634968893586,-0.040412614765709766,0.050130858041308214,-0.01917497838311747,339.20421081160555,online_slack_mpc_fast,0.06154565686008393,0.08589650950320318,0.05126150276449847,7.163821188654671,0.0,0.0,31,0,False,False,alpha_corridor_violation,7.0,high,0.015896509503203177,0.0,15.5,0.0,False,0.01784865534576921,0.020883333054371178,True,0.015896509503203177,0.0,0.005320411887096638,2.80885372596749e-07,outputs/phase22_actuator_aware_slack_mpc/moderate/scenario_005/online_slack_mpc_fast/trajectory.csv,outputs/phase22_actuator_aware_slack_mpc/moderate/scenario_005/online_slack_mpc_fast/metrics.json
moderate,6,61,0.9623122848632923,1.08158068545768,1.068457241400226,1.0836619346162633,0.15181347760620825,1.0,0.002994278568569675,0.0014215992020767117,0.0005768931239277049,-0.029436407225376708,0.04991251707174247,0.004186027688699627,365.6368989117598,online_slack_mpc,0.06119100754171183,0.08555893457649483,0.05098646356452136,12.568695281476193,0.0,0.012345679012345678,30,0,False,False,alpha_corridor_violation,7.0,high,0.01555893457649482,0.0,15.0,0.0,False,0.012569488154114856,0.028746041003614664,True,0.01555893457649482,0.0,0.006787481066504478,3.353071481495449e-07,outputs/phase22_actuator_aware_slack_mpc/moderate/scenario_006/online_slack_mpc/trajectory.csv,outputs/phase22_actuator_aware_slack_mpc/moderate/scenario_006/online_slack_mpc/metrics.json
moderate,6,61,0.9623122848632923,1.08158068545768,1.068457241400226,1.0836619346162633,0.15181347760620825,1.0,0.002994278568569675,0.0014215992020767117,0.0005768931239277049,-0.029436407225376708,0.04991251707174247,0.004186027688699627,365.6368989117598,online_slack_mpc_centered,0.06117807800118437,0.0855452304046426,0.05098205993137434,13.482129014931681,0.0,0.024691358024691357,30,0,False,False,alpha_corridor_violation,7.0,high,0.01554523040464259,0.0,15.0,0.0,False,0.012425858050262854,0.028235333040356636,True,0.01554523040464259,0.0,0.008103199299906322,3.482584074631123e-07,outputs/phase22_actuator_aware_slack_mpc/moderate/scenario_006/online_slack_mpc_centered/trajectory.csv,outputs/phase22_actuator_aware_slack_mpc/moderate/scenario_006/online_slack_mpc_centered/metrics.json
moderate,6,61,0.9623122848632923,1.08158068545768,1.068457241400226,1.0836619346162633,0.15181347760620825,1.0,0.002994278568569675,0.0014215992020767117,0.0005768931239277049,-0.029436407225376708,0.04991251707174247,0.004186027688699627,365.6368989117598,online_slack_mpc_fast,0.06126209529822602,0.08561748301667466,0.05101655431772348,6.96540521662574,0.0,0.0,30,0,False,False,alpha_corridor_violation,7.0,high,0.01561748301667465,0.0,15.0,0.0,False,0.020750651133166237,0.02725829102564603,True,0.01561748301667465,0.0,0.005171412626088195,2.8134225636276826e-07,outputs/phase22_actuator_aware_slack_mpc/moderate/scenario_006/online_slack_mpc_fast/trajectory.csv,outputs/phase22_actuator_aware_slack_mpc/moderate/scenario_006/online_slack_mpc_fast/metrics.json
moderate,7,62,1.0327960500573494,1.0743319912045537,1.112278953735189,0.9151421317114131,0.24263274437772925,0.5,0.0015409049665688031,0.001310924831518817,0.0024801614615146002,-0.042927603471438924,0.053090159356097025,-0.0191536012615999,-1423.905416998581,online_slack_mpc,0.06825170863387385,0.09548213495941121,0.05270024245177425,13.261561387077865,0.0,0.024691358024691357,38,0,False,False,alpha_corridor_violation,6.0,high,0.025482134959411207,0.0,19.0,0.0,False,0.013598047860863584,0.0326323329936713,False,0.025482134959411207,0.0,0.012267972252254128,4.4331724661159155e-07,outputs/phase22_actuator_aware_slack_mpc/moderate/scenario_007/online_slack_mpc/trajectory.csv,outputs/phase22_actuator_aware_slack_mpc/moderate/scenario_007/online_slack_mpc/metrics.json
moderate,7,62,1.0327960500573494,1.0743319912045537,1.112278953735189,0.9151421317114131,0.24263274437772925,0.5,0.0015409049665688031,0.001310924831518817,0.0024801614615146002,-0.042927603471438924,0.053090159356097025,-0.0191536012615999,-1423.905416998581,online_slack_mpc_centered,0.06825128183590802,0.0954821349594474,0.05269945856360987,13.652972435169815,0.0,0.024691358024691357,38,0,False,False,alpha_corridor_violation,6.0,high,0.0254821349594474,0.0,19.0,0.0,False,0.012786982542214295,0.028833082993514836,False,0.0254821349594474,0.0,0.01380294657932793,5.282566922368167e-07,outputs/phase22_actuator_aware_slack_mpc/moderate/scenario_007/online_slack_mpc_centered/trajectory.csv,outputs/phase22_actuator_aware_slack_mpc/moderate/scenario_007/online_slack_mpc_centered/metrics.json
moderate,7,62,1.0327960500573494,1.0743319912045537,1.112278953735189,0.9151421317114131,0.24263274437772925,0.5,0.0015409049665688031,0.001310924831518817,0.0024801614615146002,-0.042927603471438924,0.053090159356097025,-0.0191536012615999,-1423.905416998581,online_slack_mpc_fast,0.06832760091151775,0.09554987328530878,0.05273041974677486,8.083772990745297,0.0,0.0,38,0,False,False,alpha_corridor_violation,6.0,high,0.025549873285308777,0.0,19.0,0.0,False,0.018536331843481295,0.022003250080160797,False,0.025549873285308777,0.0,0.0096136701772162,4.697061741080968e-07,outputs/phase22_actuator_aware_slack_mpc/moderate/scenario_007/online_slack_mpc_fast/trajectory.csv,outputs/phase22_actuator_aware_slack_mpc/moderate/scenario_007/online_slack_mpc_fast/metrics.json
moderate,8,63,1.0180238115686702,1.1476776606578871,0.8786749505372946,1.0021150448890466,0.07013268800964144,0.5,0.0011028593964723177,0.0004317192519537778,0.0012412082361867287,-0.020315401459835056,0.04644377946404173,-0.0004817541018459792,-1592.455564172357,online_slack_mpc,0.04527918964911379,0.06886033224568883,0.04596719591555549,9.436118297948891,0.0,0.0,0,0,False,False,success,,none,0.0,0.0,0.0,0.0,False,0.01110338067986577,0.02336533402558416,True,0.0,0.0,1.842003464635342e-05,1.3084711063862195e-08,outputs/phase22_actuator_aware_slack_mpc/moderate/scenario_008/online_slack_mpc/trajectory.csv,outputs/phase22_actuator_aware_slack_mpc/moderate/scenario_008/online_slack_mpc/metrics.json
moderate,8,63,1.0180238115686702,1.1476776606578871,0.8786749505372946,1.0021150448890466,0.07013268800964144,0.5,0.0011028593964723177,0.0004317192519537778,0.0012412082361867287,-0.020315401459835056,0.04644377946404173,-0.0004817541018459792,-1592.455564172357,online_slack_mpc_centered,0.04526066030138042,0.0688390317086573,0.04595713740452949,12.408166332098418,0.0,0.07407407407407407,0,0,False,False,success,,none,0.0,0.0,0.0,0.0,False,0.01125256121331067,0.02432445902377367,True,0.0,0.0,0.0003311703702698478,5.2384930652934646e-08,outputs/phase22_actuator_aware_slack_mpc/moderate/scenario_008/online_slack_mpc_centered/trajectory.csv,outputs/phase22_actuator_aware_slack_mpc/moderate/scenario_008/online_slack_mpc_centered/metrics.json
moderate,8,63,1.0180238115686702,1.1476776606578871,0.8786749505372946,1.0021150448890466,0.07013268800964144,0.5,0.0011028593964723177,0.0004317192519537778,0.0012412082361867287,-0.020315401459835056,0.04644377946404173,-0.0004817541018459792,-1592.455564172357,online_slack_mpc_fast,0.04538399390657149,0.0689291470984014,0.04602065650138478,1.185035992338778,0.0,0.0,0,0,False,False,success,,none,0.0,0.0,0.0,0.0,False,0.01640312297321442,0.017919749952852726,True,0.0,0.0,9.038098004002715e-06,1.550102482411083e-08,outputs/phase22_actuator_aware_slack_mpc/moderate/scenario_008/online_slack_mpc_fast/trajectory.csv,outputs/phase22_actuator_aware_slack_mpc/moderate/scenario_008/online_slack_mpc_fast/metrics.json
