tier,scenario_id,seed,density_scale,cm_alpha_scale,cm_delta_scale,cm_q_scale,actuator_lag_s,actuator_delay_s,sensor_noise_alpha_rad,sensor_noise_q_radps,sensor_noise_theta_rad,initial_alpha_error_rad,initial_q_error_radps,initial_theta_error_rad,external_disturbance_moment_nm,controller,solver_status,solve_time_s,oracle_feasible,oracle_near_feasible,oracle_max_alpha_miss_rad,oracle_max_q_miss_radps,oracle_alpha_violation_duration_s,first_alpha_violation_time_s,first_alpha_violation_side,actuator_tau_prediction_s,predicted_max_alpha_slack_rad,predicted_max_q_slack_radps,objective_value,trajectory_csv,metrics_json
moderate,29,84,1.0696294716783745,1.1200610988195503,1.099715581772791,1.1535742191160263,0.07960960432354232,0.0,0.0019463869562487603,0.0004242783563313396,0.000848639165457846,-0.024806855750437326,0.04086951489366636,-0.004661681111193499,-420.93059440356905,truth_consistent_slack_oracle,Solve_Succeeded,0.10885233303997666,True,True,0.0,0.0,0.0,,none,0.5,2.8764835910177747e-09,1.8905355198579377e-08,74.52118131079052,outputs/phase23_feasibility_ceiling_audit/moderate/scenario_029/oracle_trajectory.csv,outputs/phase23_feasibility_ceiling_audit/moderate/scenario_029/oracle_metrics.json
stress,0,10055,0.8378955015168319,0.8134079790400522,0.7897704751772718,0.6506121034875804,0.25618239868043924,1.5,0.00549036831476468,0.0016894853408081832,0.007680079439061039,-0.004471479429947158,0.06201083925618894,0.04666073176012917,-2194.1579157675574,truth_consistent_slack_oracle,Solve_Succeeded,0.22894904192071408,False,False,0.0647851334040685,0.0,33.0,3.0,high,1.0061823986804392,0.06478512340406858,5.628366964933491e-07,8164656.733373604,outputs/phase23_feasibility_ceiling_audit/stress/scenario_000/oracle_trajectory.csv,outputs/phase23_feasibility_ceiling_audit/stress/scenario_000/oracle_metrics.json
stress,1,10056,0.9303608946512464,0.8454174308359381,1.2293875720674339,0.6485713174581409,0.6573352173100183,1.0,0.003974919790454923,0.001090421166685319,0.006246505115645126,-0.06077663813443997,0.04369178412569492,0.011423261993863554,-68.50071747811049,truth_consistent_slack_oracle,Solve_Succeeded,0.11208791600074619,True,True,0.0,0.0,0.0,,none,1.1573352173100182,2.6195641403481238e-09,2.0184223513548908e-08,108.26488286131526,outputs/phase23_feasibility_ceiling_audit/stress/scenario_001/oracle_trajectory.csv,outputs/phase23_feasibility_ceiling_audit/stress/scenario_001/oracle_metrics.json
stress,2,10057,0.8866800433930975,0.9276352786236607,0.7499245797839396,0.7309926130233437,0.2586107576985939,1.0,0.004478437066488493,0.0012923100994562892,0.005160534056958272,-0.041606195997913514,0.04669296781546167,-0.02284003464815019,6107.333239994104,truth_consistent_slack_oracle,Solve_Succeeded,0.16815566702280194,False,True,0.010801980065455907,0.0,16.0,9.0,high,0.7586107576985939,0.010801970065457136,3.6727600616669106e-07,119166.2744308254,outputs/phase23_feasibility_ceiling_audit/stress/scenario_002/oracle_trajectory.csv,outputs/phase23_feasibility_ceiling_audit/stress/scenario_002/oracle_metrics.json
stress,3,10058,0.8400348122237011,0.7368166561589482,1.098880145389692,0.9663426523519489,0.4807149936858969,1.5,0.007381684733804169,0.0039628751550082695,0.0015802535717956004,-0.027669301938465292,0.05848110963791403,0.030446402496627712,-2492.964583448316,truth_consistent_slack_oracle,Solve_Succeeded,0.2059585410170257,False,False,0.047862637890936144,0.0,27.0,4.0,high,1.230714993685897,0.04786262789109674,5.01850322397001e-07,3731290.8250597217,outputs/phase23_feasibility_ceiling_audit/stress/scenario_003/oracle_trajectory.csv,outputs/phase23_feasibility_ceiling_audit/stress/scenario_003/oracle_metrics.json
stress,4,10059,0.8509073964985324,1.2873305783786486,0.9606049484890203,1.0118767760127751,0.5166991460718621,0.5,0.006164815211880045,0.0011326046514041968,0.004759177439206194,-0.01840710398592175,0.042661375658847187,-0.003392551809463007,821.4320826283194,truth_consistent_slack_oracle,Solve_Succeeded,0.10999879101291299,True,True,0.0,0.0,0.0,,none,0.7666991460718621,2.8643620880779373e-09,1.889896442085909e-08,104.92437397242985,outputs/phase23_feasibility_ceiling_audit/stress/scenario_004/oracle_trajectory.csv,outputs/phase23_feasibility_ceiling_audit/stress/scenario_004/oracle_metrics.json
stress,5,10060,0.9630926665140382,1.1606808963757862,1.2216221031121512,0.9657950551141605,0.3224799759664272,1.0,0.006069995815700608,0.0016087017017584922,0.0017684969281546899,-0.05160326416450517,0.051596152396489146,0.014929206449208754,-769.1851361540372,truth_consistent_slack_oracle,Solve_Succeeded,0.16927754203788936,False,True,0.019600085258832722,0.0,17.0,7.0,high,0.8224799759664272,0.019600075258833047,2.6406603325955315e-07,408313.0395823284,outputs/phase23_feasibility_ceiling_audit/stress/scenario_005/oracle_trajectory.csv,outputs/phase23_feasibility_ceiling_audit/stress/scenario_005/oracle_metrics.json
stress,6,10061,1.0369246295704622,0.9031157990996579,1.1733945453004238,1.0846015290208744,0.26976703989394807,0.5,0.0021652652844114015,0.0020134855485208114,0.0073158945485747315,-0.020709418677945006,0.03373279835109744,0.021556087188663975,-4575.918643044272,truth_consistent_slack_oracle,Solve_Succeeded,0.14098120795097202,False,True,0.019125788130283233,0.0,5.0,36.0,low,0.519767039893948,0.019125778130283454,2.0168451035488882e-07,91587.20694376448,outputs/phase23_feasibility_ceiling_audit/stress/scenario_006/oracle_trajectory.csv,outputs/phase23_feasibility_ceiling_audit/stress/scenario_006/oracle_metrics.json
stress,7,10062,1.2089415706681728,1.0388272811690047,1.3554360679161346,1.3044208428948538,0.5192310882170614,0.5,0.0026701265000948606,0.0005495050286051618,0.003951881981624145,-0.02856479410371991,0.06863168780382735,0.03341671052271779,3459.989578338532,truth_consistent_slack_oracle,Solve_Succeeded,0.20591124997008592,False,False,0.10179136850008746,0.0,38.0,3.0,high,0.7692310882170614,0.10179135850008751,1.5338222721230385e-06,29518173.66342459,outputs/phase23_feasibility_ceiling_audit/stress/scenario_007/oracle_trajectory.csv,outputs/phase23_feasibility_ceiling_audit/stress/scenario_007/oracle_metrics.json
stress,8,10063,0.8335060423399854,0.7696806349912375,0.9305283352741281,1.2375055536530342,0.5503909427735989,1.5,0.0044337869270696635,0.0032557376219124403,0.006310158083378462,-0.03685153363557458,0.03625405135993723,-0.02996141992935113,-2133.7130355660106,truth_consistent_slack_oracle,Solve_Succeeded,0.11095812497660518,True,True,0.0,0.0,0.0,,none,1.300390942773599,2.895523678908243e-09,1.893570189021097e-08,62.44747102713244,outputs/phase23_feasibility_ceiling_audit/stress/scenario_008/oracle_trajectory.csv,outputs/phase23_feasibility_ceiling_audit/stress/scenario_008/oracle_metrics.json
