controller,time_s,alpha_rad,q_radps,theta_rad,alpha_ref_rad,q_ref_radps,theta_ref_rad,alpha_min_rad,alpha_max_rad,q_min_radps,q_max_radps,delta_flap_raw_rad,delta_flap_rad,delta_flap_rate_radps,flap_min_rad,flap_max_rad,flap_rate_min_radps,flap_rate_max_radps,flap_saturated,flap_rate_saturated,corridor_violation,alpha_error_rad,q_error_rad,theta_error_rad,pitching_moment_nm,cm,flap_effectiveness,altitude_m,velocity_mps,mach,density_kgm3,dynamic_pressure_pa
gain_scheduled_lqr,109.0,-0.013705407777842878,-0.003680865894777585,0.030374424353686338,0.23419738448534938,-0.002117165527343756,-0.11759124023437502,0.16419738448534937,0.3041973844853494,-0.08,0.08,0.34247230574028653,0.34247230574028653,-0.015055388519426893,-0.35,0.35,-0.18,0.18,False,False,True,-0.24790279226319226,-0.001563700367433829,0.14796566458806135,-4284.428649590278,-0.050380061996765715,0.7591957042245618,52361.31396484375,3523.7454990637425,11.942146484790516,0.0005350756394815627,3321.958876020525
gain_scheduled_lqr,109.5,-0.014041235936721007,-0.003766462624546407,0.028512584549535376,0.23319873743895572,-0.002106025390624988,-0.11864706176757812,0.16319873743895572,0.30319873743895576,-0.08,0.08,0.3175975737212914,0.3175975737212914,-0.0497494640379903,-0.35,0.35,-0.18,0.18,False,False,True,-0.24723997337567674,-0.001660437233921419,0.1471596463171135,-3911.6108800021275,-0.04518425117103632,0.7614075111904817,52202.94073486328,3511.1444124393643,11.899440783605273,0.0005486068198094579,3381.649491582769
gain_scheduled_lqr,110.0,-0.01438081261691694,-0.0038446002088324154,0.02660981094905828,0.23219665664913602,-0.0020946948242187846,-0.11969726562500001,0.16219665664913602,0.30219665664913603,-0.08,0.08,0.294080107276275,0.294080107276275,-0.0470349328900328,-0.35,0.35,-0.18,0.18,False,False,True,-0.24657746926605295,-0.0017499053846136308,0.14630707657405828,-3546.307058305351,-0.040246018212186346,0.7636098157591469,52045.41015625,3498.6215369906577,11.857000143933941,0.0005624054452166939,3442.0204934237972
gain_scheduled_lqr,110.5,-0.01472025199413523,-0.003915429991663585,0.024669795376393754,0.23119140625,-0.002083173828124979,-0.12074175659179691,0.16119140625,0.30119140625,-0.08,0.08,0.271904846743118,0.271904846743118,-0.044350521066313986,-0.35,0.35,-0.18,0.18,False,False,True,-0.24591165824413524,-0.0018322561635386063,0.14541155196819067,-3189.5099986882346,-0.03556606183775475,0.7658023772898002,51888.73651123047,3486.17783057951,11.81482781201748,0.0005764732312677876,3503.0652224616506
gain_scheduled_lqr,111.0,-0.015056149445657403,-0.003979123089353524,0.0226961490336706,0.23018325037565746,-0.002071462402343738,-0.12178043945312499,0.16018325037565745,0.30018325037565746,-0.08,0.08,0.2510519727955519,0.2510519727955519,-0.04170574789513215,-0.35,0.35,-0.18,0.18,False,False,True,-0.24523939982131485,-0.0019076606870097861,0.1444765884867956,-2842.1337214442615,-0.031143846015074434,0.7679849545396729,51732.93408203125,3473.81424952653,11.772927028873381,0.0005908117307839935,3564.7764389850718
gain_scheduled_lqr,111.5,-0.015385540408143083,-0.004035868818564244,0.020692393008172157,0.2291724531602179,-0.0020595605468750056,-0.12281321899414065,0.15917245316021789,0.2991724531602179,-0.08,0.08,0.2314972082661605,0.2314972082661605,-0.039109529058782844,-0.35,0.35,-0.18,0.18,False,False,True,-0.24455799356836097,-0.0019763082716892384,0.1435056120023128,-2505.0095188574996,-0.026977663956056986,0.7701573056797725,51578.017150878906,3461.5317486222852,11.731301030333748,0.0006054223252239787,3627.1463122143864
gain_scheduled_lqr,112.0,-0.015705862757737207,-0.0040858730453806735,0.0186619495851917,0.22815927873779118,-0.0020474682617187268,-0.12383999999999999,0.15815927873779118,0.2981592787377912,-0.08,0.08,0.21321214059528953,0.21321214059528953,-0.036570135341741916,-0.35,0.35,-0.18,0.18,False,False,True,-0.2438651414955284,-0.0020384047836619467,0.1425019495851917,-2178.8827112331355,-0.0230647066953284,0.7723191883108756,51424.0,3449.3312811384008,11.68995304708292,0.0006203062159352631,3690.1664101708834
gain_scheduled_lqr,112.5,-0.01601492231151638,-0.004129356469251043,0.016608134402613557,0.22714399124248688,-0.0020351855468749985,-0.12486068725585937,0.15714399124248687,0.2971439912424869,-0.08,0.08,0.19616456211735306,0.19616456211735306,-0.03409515695587295,-0.35,0.35,-0.18,0.18,False,False,True,-0.24315891355400326,-0.0020941709223760447,0.14146882165847294,-1864.4101379481554,-0.019401135861940387,0.7744703594797258,51270.896911621094,3437.213798838527,11.64888630469463,0.0006354644152865832,3753.8276898760887
gain_scheduled_lqr,113.0,-0.01631086109784968,-0.004166552856539994,0.014534149476104118,0.22612685480841474,-0.0020227124023437376,-0.125875185546875,0.15612685480841473,0.2961268548084147,-0.08,0.08,0.18031882516061426,0.18031882516061426,-0.0316914739134776,-0.35,0.35,-0.18,0.18,False,False,True,-0.24243771590626442,-0.0021438404541962563,0.14040933502297911,-1562.158417661615,-0.01598216017101946,0.776610575695435,51118.72216796875,3425.180251989168,11.60810402366871,0.0006508977376921209,3818.1204879023817
gain_scheduled_lqr,113.5,-0.01659212808710601,-0.004197707239119329,0.012443077116253552,0.22510813356968448,-0.0020100488281249995,-0.1268833996582031,0.15510813356968448,0.29510813356968446,-0.08,0.08,0.01877294594158796,0.09031882516061426,-0.18,-0.35,0.35,-0.18,0.18,False,True,True,-0.24170026165679048,-0.002187658410994329,0.13932647677445667,359.9102981645763,0.0036206209296243373,0.7787395929460911,50967.49005126953,3413.231589370381,11.567609419467352,0.0006666067905393574,3883.034511296512
