tier,scenario_id,seed,controller,time_s,alpha_rad,q_radps,theta_rad,alpha_ref_rad,q_ref_radps,theta_ref_rad,alpha_min_rad,alpha_max_rad,q_min_radps,q_max_radps,alpha_error_rad,q_error_rad,theta_error_rad,delta_flap_rad,delta_flap_raw_rad,delta_flap_rate_radps,flap_saturated,flap_rate_saturated,solver_status,solve_time_s,solver_failure,actuator_tau_prediction_s,corridor_violation,oracle_near_feasible,alpha_error_to_center_rad,alpha_margin_low_rad,alpha_margin_high_rad,dynamic_pressure_scaled,mach_scaled,actuator_tau_s
stress,1,10056,slack_oracle,36.0,0.1971808489286922,0.043350811753575,1.6582544619856283,0.2,-0.0017001245117187,0.046435625,0.13,0.27,-0.08,0.08,-0.0028191510713077,0.0450509362652938,1.6118188369856283,-0.0400208951843637,-0.0357221926058384,0.0,False,False,oracle_solution,0.0,False,1.1573352173100182,False,True,-0.0028191510713078127,0.0671808489286922,0.07281915107130782,0.0,0.0,1.1573352173100182
stress,1,10056,slack_oracle,37.0,0.1971506992247908,0.0433419026544897,1.7016008243115988,0.203332475994513,-0.0017332592773437,0.0447188378906249,0.133332475994513,0.273332475994513,-0.08,0.08,-0.0061817767697222,0.0450751619318335,1.6568819864209738,-0.0375489259943882,-0.0309636290300309,0.0,False,False,oracle_solution,0.0,False,1.1573352173100182,False,True,-0.006181776769722175,0.0638182232302778,0.07618177676972218,0.0,0.0,1.1573352173100182
stress,1,10056,slack_oracle,38.0,0.1971183528221309,0.0433326573334419,1.7449381125364047,0.2066598079561042,-0.0017656323242187,0.042969296875,0.1366598079561042,0.2766598079561043,-0.08,0.08,-0.0095414551339733,0.0450982896576607,1.7019688156614048,-0.0337620505580525,-0.0270063060112806,0.0,False,False,oracle_solution,0.0,False,1.1573352173100182,False,True,-0.009541455133973337,0.0604585448660267,0.0795414551339734,0.0,0.0,1.1573352173100182
stress,1,10056,slack_oracle,39.0,0.1970839237020498,0.0433230422229571,1.7882659710857998,0.2099768518518518,-0.0017972436523437,0.041187763671875,0.1399768518518518,0.2799768518518518,-0.08,0.08,-0.0128929281498019,0.0451202858753008,1.7470782074139248,-0.0298771592286566,-0.0247481089890441,0.0,False,False,oracle_solution,0.0,False,1.1573352173100182,False,True,-0.012892928149801974,0.057107071850198005,0.08289292814980198,0.0,0.0,1.1573352173100182
stress,1,10056,slack_oracle,40.0,0.1970474851305052,0.0433130491341703,1.8315840236299632,0.213278463648834,-0.0018280932617187,0.039375,0.143278463648834,0.283278463648834,-0.08,0.08,-0.0162309785183287,0.045141142395889,1.7922090236299633,-0.0269276985635952,-0.0247481089890441,0.0,False,False,oracle_solution,0.0,False,1.1573352173100182,False,True,-0.016230978518328804,0.0537690214816712,0.08623097851832881,0.0,0.0,1.1573352173100182
stress,2,10057,slack_oracle,0.0,0.0783938040020864,0.0466777651787429,0.0571599653518498,0.12,-1.5202636718752991e-05,0.08,0.0499999999999999,0.19,-0.08,0.08,-0.0416061959979135,0.0466929678154616,-0.0228400346481501,0.0,0.1800000098981752,0.0,False,False,oracle_solution,0.0,False,0.7586107576985939,False,True,-0.041606195997913556,0.0283938040020865,0.1116061959979136,0.0,0.0,0.7586107576985939
stress,2,10057,slack_oracle,1.0,0.1048109016111192,0.0466751955070683,0.1038366970094132,0.1200917352537722,-6.052490234374763e-05,0.079969658203125,0.0500917352537722,0.1900917352537723,-0.08,0.08,-0.015280833642653,0.046735720409412,0.0238670388062882,0.1269587845003236,0.3500000098950238,0.0,False,False,oracle_solution,0.0,False,0.7586107576985939,False,True,-0.01528083364265305,0.05471916635734699,0.0852808336426531,0.0,0.0,0.7586107576985939
stress,2,10057,slack_oracle,2.0,0.12600778065022,0.0466701217435433,0.1505096314518734,0.1203635116598079,-0.0001203198242187,0.079879140625,0.0503635116598079,0.1903635116598079,-0.08,0.08,0.0056442689904121,0.046790441567762,0.0706304908268734,0.284275680680455,0.3500000098928987,0.0,False,False,oracle_solution,0.0,False,0.7586107576985939,False,True,0.005644268990412107,0.0756442689904121,0.06435573100958789,0.0,0.0,0.7586107576985939
stress,2,10057,slack_oracle,3.0,0.1430132897666023,0.0466634031831104,0.1971765086984293,0.1208101851851851,-0.0001793530273437,0.079729208984375,0.0508101851851851,0.1908101851851852,-0.08,0.08,0.0222031045814171,0.0468427562104541,0.1174472997140543,0.3306327945141224,0.3500000098890285,0.0,False,False,oracle_solution,0.0,False,0.7586107576985939,False,True,0.022203104581417152,0.0922031045814172,0.047796895418582896,0.0,0.0,0.7586107576985939
stress,2,10057,slack_oracle,4.0,0.1566541194061409,0.0466558255269563,0.2438361837952629,0.1214266117969821,-0.0002376245117187,0.079520625,0.0514266117969821,0.1914266117969821,-0.08,0.08,0.0352275076091587,0.0468934500386751,0.164315558795263,0.3442930055582496,0.3500000098837847,0.0,False,False,oracle_solution,0.0,False,0.7586107576985939,False,True,0.03522750760915881,0.1052275076091588,0.03477249239084118,0.0,0.0,0.7586107576985939
