controller,time_s,alpha_rad,q_radps,theta_rad,alpha_ref_rad,q_ref_radps,theta_ref_rad,alpha_min_rad,alpha_max_rad,q_min_radps,q_max_radps,flap_min_rad,flap_max_rad,flap_rate_min_radps,flap_rate_max_radps,delta_flap_raw_rad,delta_flap_rad,delta_flap_rate_radps,flap_saturated,flap_rate_saturated,corridor_violation,alpha_error_rad,q_error_rad,theta_error_rad,pitching_moment_nm,cm,flap_effectiveness,altitude_m,velocity_mps,mach,density_kgm3,dynamic_pressure_pa
nominal_nmpc,20.0,0.2093272949681863,0.04634563247887761,1.0089865020447928,0.1501783264746228,-0.0010663745117187456,0.068828125,0.08017832647462278,0.2201783264746228,-0.08,0.08,-0.35,0.35,-0.18,0.18,0.3499999917902137,0.3499999917902137,-6.638153915439204e-10,False,False,False,0.05914896849356352,0.047412006990596355,0.9401583770447928,-300.73937991977425,-0.10030717745944226,0.4116864050020053,80324.21875,5999.589364571574,20.332902889650182,6.507366498677634e-06,117.11656459345757
nominal_nmpc,22.0,0.2097812865130938,0.04632155119232331,1.1016536926690326,0.15568587105624143,-0.001156257324218743,0.066604921875,0.08568587105624142,0.22568587105624144,-0.08,0.08,-0.35,0.35,-0.18,0.18,0.3499999898233004,0.3499999898233004,-9.834566494504315e-10,False,False,False,0.05409541545685237,0.047477808516542055,1.0350487707940326,-313.80294047897723,-0.10050604914893926,0.4135553796234184,79990.73828125,5963.562250691366,20.210805232059418,6.858723950856355e-06,121.96208552875365
nominal_nmpc,24.0,0.21003387859034453,0.046296433974100784,1.1942716818751478,0.16148148148148148,-0.0012430932617187584,0.064205,0.09148148148148147,0.23148148148148148,-0.08,0.08,-0.35,0.35,-0.18,0.18,0.3499999865675281,0.3499999865675281,-1.6278861314500404e-09,False,False,False,0.048552397108863055,0.04753952723581954,1.1300666818751477,-328.9256073243286,-0.10082570247547215,0.41752238101690514,79630.75,5925.293394955936,20.08111020126924,7.259333351991131e-06,127.43433688679012
nominal_nmpc,26.0,0.21015491579982967,0.04627011320681099,1.2868382310986026,0.16752400548696844,-0.0013268823242187505,0.061634453125,0.09752400548696843,0.23752400548696845,-0.08,0.08,-0.35,0.35,-0.18,0.18,0.3499999796331148,0.3499999796331148,-3.4672066606677987e-09,False,False,False,0.04263091031286123,0.04759699553102974,1.2252037779736027,-345.78288791228084,-0.10111399936948504,0.4217616388175952,79245.16796875,5884.907773831726,19.944241348659794,7.714413554341325e-06,133.58332321241127
nominal_nmpc,28.0,0.210189141610782,0.04624244824518771,1.3793507931905056,0.17377229080932782,-0.001407624511718747,0.058899375000000004,0.10377229080932782,0.24377229080932783,-0.08,0.08,-0.35,0.35,-0.18,0.18,0.34999950951421216,0.34999950951421216,-2.3505945132007433e-07,False,False,False,0.03641685080145418,0.047650072756906456,1.3204514181905056,-364.58145933238035,-0.10138746680112061,0.42626563971425235,78834.90625,5842.524477410941,19.800602276399946,8.229989024133897e-06,140.46571735643462
nominal_nmpc,30.0,0.21016513671106074,0.04621328257785345,1.4718065236329216,0.1801851851851852,-0.0014853198242187476,0.056005859375,0.11018518518518519,0.2501851851851852,-0.08,0.08,-0.35,0.35,-0.18,0.18,0.12228764054156399,0.12228764054156399,-0.11385593448632408,False,False,False,0.029979951525875542,0.047698602402072195,1.4158006642579217,-281.30930069213633,-0.07417472730759687,0.4310270996332512,78400.87890625,5798.257549279098,19.65057948379968,8.812987596147219e-06,148.14539880568097
nominal_nmpc,32.0,0.21010829352370738,0.04619078082286096,1.564210585994378,0.186721536351166,-0.0015599682617187527,0.05295999999999999,0.116721536351166,0.256721536351166,-0.08,0.08,-0.35,0.35,-0.18,0.18,-0.19203477812728437,-0.19203477812728437,-0.15716120933442418,False,False,False,0.023386757172541378,0.04775074908457971,1.5112505859943781,-143.42055224542707,-0.03575352977172827,0.4360389051767378,77944.0,5752.216651982374,19.494544622611564,9.471353078252605e-06,156.69404833189384
nominal_nmpc,34.0,0.21004487371294336,0.04617931096668293,1.6565806765325375,0.19334019204389574,-0.001631569824218762,0.049767890625000005,0.12334019204389574,0.26334019204389575,-0.08,0.08,-0.35,0.35,-0.18,0.18,-0.34999998991345804,-0.34999998991345804,-0.07898260589308684,False,False,False,0.016704681669047622,0.04781088079090169,1.6068127859075374,-66.9070571888331,-0.015726148451436488,0.4412940631030815,77465.18359375,5704.507603695355,19.33285631582411,1.0214174218223883e-05,166.1918002052219
nominal_nmpc,36.0,0.20999079110292176,0.04617396191185522,1.7489339482725828,0.2,-0.001700124511718755,0.046435625,0.13,0.27,-0.08,0.08,-0.35,0.35,-0.18,0.18,-0.3500000032156366,-0.35,-5.043270967508562e-09,False,False,False,0.009990791102921753,0.04787408642357398,1.7024983232725828,-67.67626659231885,-0.014958608013898485,0.44678565618904953,76965.34375,5655.232817650954,19.165861646911356,1.1051831714793716e-05,176.72795231389205
nominal_nmpc,38.0,0.20994724743948562,0.04616855078279681,1.8412764599976965,0.20665980795610428,-0.0017656323242187522,0.042969296875,0.13665980795610427,0.2766598079561043,-0.08,0.08,-0.35,0.35,-0.18,0.18,-0.3500000054273719,-0.35,0.0,False,False,False,0.003287439483381338,0.04793418310701556,1.7983071631226966,-68.32524683013706,-0.014166297218690692,0.45250680427969014,76445.39453125,5604.4916667489015,18.99389739550893,1.1996165115764816e-05,188.40173357233184
