tier,scenario_id,seed,density_scale,cm_alpha_scale,cm_delta_scale,cm_q_scale,actuator_lag_s,actuator_delay_s,sensor_noise_alpha_rad,sensor_noise_q_radps,sensor_noise_theta_rad,initial_alpha_error_rad,initial_q_error_radps,initial_theta_error_rad,external_disturbance_moment_nm,controller,rms_alpha_error_rad,max_alpha_error_rad,rms_pitch_rate_error_radps,control_effort_abs_rad_s,flap_saturation_fraction,flap_rate_saturation_fraction,alpha_violation_count,pitch_rate_violation_count,solver_failure,unstable_response,failure_label,trajectory_csv,metrics_json,design_scenario_count
moderate,10,65,0.8642174456390412,1.005466653261876,0.9499434253485177,0.8914714093255712,0.32960311763802463,0.5,0.0008365525317918986,6.46762207459785e-05,0.00043271742188083696,-0.04968044093642936,0.042852932412735696,-0.01897115270827847,2221.850917262168,scenario_nmpc,0.03547862503681802,0.06039207276878819,0.046015605661838994,50.06177135047679,0.0,0.04361370716510903,0,0,False,False,success,outputs/phase7_scenario_mpc/moderate/scenario_010/trajectory.csv,outputs/phase7_scenario_mpc/moderate/scenario_010/metrics.json,3
moderate,11,66,1.1271201633807792,1.057845439337298,0.8291739104917131,1.0497015221724948,0.165381683907133,1.0,0.00030848479803221776,0.0006562873235056894,0.001380134036191736,-0.02273632069936974,0.05238554387091182,0.0011889161663444536,-1809.8046884581565,scenario_nmpc,0.05138352660221332,0.09327803779142568,0.045371331373164736,46.38639849681731,0.0,0.1277258566978193,36,0,False,False,alpha_corridor_violation,outputs/phase7_scenario_mpc/moderate/scenario_011/trajectory.csv,outputs/phase7_scenario_mpc/moderate/scenario_011/metrics.json,3
stress,0,10055,0.8378955015168319,0.8134079790400522,0.7897704751772718,0.6506121034875804,0.25618239868043924,1.5,0.00549036831476468,0.0016894853408081832,0.007680079439061039,-0.004471479429947158,0.06201083925618894,0.04666073176012917,-2194.1579157675574,scenario_nmpc,0.056205949727111314,0.1348818501526812,0.05238235817168627,46.819948832743115,0.0,0.11526479750778816,65,0,True,True,solver_failure,outputs/phase7_scenario_mpc/stress/scenario_000/trajectory.csv,outputs/phase7_scenario_mpc/stress/scenario_000/metrics.json,3
stress,1,10056,0.9303608946512464,0.8454174308359381,1.2293875720674339,0.6485713174581409,0.6573352173100183,1.0,0.003974919790454923,0.001090421166685319,0.006246505115645126,-0.06077663813443997,0.04369178412569492,0.011423261993863554,-68.50071747811049,scenario_nmpc,0.04817868703244983,0.08291668704180916,0.04280171985662329,47.2275540954101,0.0,0.09034267912772585,56,0,True,False,solver_failure,outputs/phase7_scenario_mpc/stress/scenario_001/trajectory.csv,outputs/phase7_scenario_mpc/stress/scenario_001/metrics.json,3
stress,2,10057,0.8866800433930975,0.9276352786236607,0.7499245797839396,0.7309926130233437,0.2586107576985939,1.0,0.004478437066488493,0.0012923100994562892,0.005160534056958272,-0.041606195997913514,0.04669296781546167,-0.02284003464815019,6107.333239994104,scenario_nmpc,0.05387314126781945,0.08140724188968482,0.05921682683105866,55.48241040415682,0.0,0.009345794392523364,90,0,True,True,solver_failure,outputs/phase7_scenario_mpc/stress/scenario_002/trajectory.csv,outputs/phase7_scenario_mpc/stress/scenario_002/metrics.json,3
stress,3,10058,0.8400348122237011,0.7368166561589482,1.098880145389692,0.9663426523519489,0.4807149936858969,1.5,0.007381684733804169,0.0039628751550082695,0.0015802535717956004,-0.027669301938465292,0.05848110963791403,0.030446402496627712,-2492.964583448316,scenario_nmpc,0.052476130937898754,0.11791709584898599,0.049278834226511,44.82164488043189,0.0,0.22118380062305296,53,0,False,False,alpha_corridor_violation,outputs/phase7_scenario_mpc/stress/scenario_003/trajectory.csv,outputs/phase7_scenario_mpc/stress/scenario_003/metrics.json,3
stress,4,10059,0.8509073964985324,1.2873305783786486,0.9606049484890203,1.0118767760127751,0.5166991460718621,0.5,0.006164815211880045,0.0011326046514041968,0.004759177439206194,-0.01840710398592175,0.042661375658847187,-0.003392551809463007,821.4320826283194,scenario_nmpc,0.04682278741455087,0.0787416454349179,0.04275876969403595,46.471757412989284,0.0,0.11526479750778816,45,0,False,False,alpha_corridor_violation,outputs/phase7_scenario_mpc/stress/scenario_004/trajectory.csv,outputs/phase7_scenario_mpc/stress/scenario_004/metrics.json,3
stress,5,10060,0.9630926665140382,1.1606808963757862,1.2216221031121512,0.9657950551141605,0.3224799759664272,1.0,0.006069995815700608,0.0016087017017584922,0.0017684969281546899,-0.05160326416450517,0.051596152396489146,0.014929206449208754,-769.1851361540372,scenario_nmpc,0.04566792377327139,0.08960830603120426,0.046672132437047625,47.90208137631566,0.0,0.13707165109034267,33,0,False,False,alpha_corridor_violation,outputs/phase7_scenario_mpc/stress/scenario_005/trajectory.csv,outputs/phase7_scenario_mpc/stress/scenario_005/metrics.json,3
stress,6,10061,1.0369246295704622,0.9031157990996579,1.1733945453004238,1.0846015290208744,0.26976703989394807,0.5,0.0021652652844114015,0.0020134855485208114,0.0073158945485747315,-0.020709418677945006,0.03373279835109744,0.021556087188663975,-4575.918643044272,scenario_nmpc,0.11846014660760107,0.18336917940137223,0.026990534064615764,51.757796165831316,0.0,0.08099688473520249,200,0,True,False,solver_failure,outputs/phase7_scenario_mpc/stress/scenario_006/trajectory.csv,outputs/phase7_scenario_mpc/stress/scenario_006/metrics.json,3
stress,7,10062,1.2089415706681728,1.0388272811690047,1.3554360679161346,1.3044208428948538,0.5192310882170614,0.5,0.0026701265000948606,0.0005495050286051618,0.003951881981624145,-0.02856479410371991,0.06863168780382735,0.03341671052271779,3459.989578338532,scenario_nmpc,0.09137629338116879,0.17179059261884883,0.06629432662499163,52.61958262597539,0.0,0.040498442367601244,147,0,True,True,solver_failure,outputs/phase7_scenario_mpc/stress/scenario_007/trajectory.csv,outputs/phase7_scenario_mpc/stress/scenario_007/metrics.json,3
