tier,scenario_id,seed,controller,time_s,alpha_rad,q_radps,theta_rad,alpha_ref_rad,q_ref_radps,theta_ref_rad,alpha_min_rad,alpha_max_rad,q_min_radps,q_max_radps,alpha_error_rad,q_error_rad,theta_error_rad,mach,altitude_m,dynamic_pressure_pa,delta_flap_rad,delta_flap_raw_rad,delta_flap_rate_radps,flap_saturated,flap_rate_saturated,solver_status,solve_time_s,solver_failure,actuator_tau_prediction_s,corridor_violation
stress,20,10075,slack_oracle,18.0,0.19551394511099404,0.04359254196555679,0.8317104406570245,0.145,-0.0009734448242187527,0.070868515625,0.07499999999999998,0.215,-0.08,0.08,0.05051394511099405,0.044565986789775545,0.7608419250320245,20.44695600594777,80630.27734375,112.85395359761522,0.3499991393980746,0.34999991030543326,0.0,False,False,oracle_solution,0.0,False,1.3354907118510861,False
stress,20,10075,slack_oracle,19.0,0.19602897484904658,0.04358153696517156,0.8752974819812136,0.147545438957476,-0.0010202905273437451,0.069871552734375,0.07754543895747598,0.217545438957476,-0.08,0.08,0.04848353589157059,0.0446018274925153,0.8054259292468386,20.39096400829609,80480.73291015625,114.91490475208458,0.3499995443711749,0.34999964377764325,0.0,False,False,oracle_solution,0.0,False,1.3354907118510861,False
stress,20,10075,slack_oracle,20.0,0.1964323156172904,0.043570309064036784,0.9188734064766269,0.1501783264746228,-0.0010663745117187456,0.068828125,0.08017832647462278,0.2201783264746228,-0.08,0.08,0.04625398914266762,0.04463668357575553,0.8500452814766268,20.332902889650182,80324.21875,117.11656459345757,0.34999959659138685,0.3363785930818125,0.0,False,False,oracle_solution,0.0,False,1.3354907118510861,False
stress,20,10075,slack_oracle,21.0,0.1967458365082015,0.043558904343411184,0.9624380053548327,0.1528935185185185,-0.0011116967773437542,0.06773899414062501,0.0828935185185185,0.22289351851851852,-0.08,0.08,0.043852317989682976,0.04467060112075494,0.8946990112142077,20.27283107707244,80160.84912109375,119.46386215908987,0.34284421020371597,0.30816896160249185,0.0,False,False,oracle_solution,0.0,False,1.3354907118510861,False
stress,20,10075,slack_oracle,22.0,0.19698716873759672,0.04354744645729116,1.005991158259514,0.15568587105624143,-0.001156257324218743,0.066604921875,0.08568587105624142,0.22568587105624144,-0.08,0.08,0.04130129768135529,0.0447037037815099,0.939386236384514,20.210805232059418,79990.73828125,121.96208552875365,0.3246286065107943,0.2710738163679334,0.0,False,False,oracle_solution,0.0,False,1.3354907118510861,False
stress,20,10075,slack_oracle,23.0,0.19717058914616065,0.04353608185833304,1.0495328861226891,0.15855024005486967,-0.0012000561523437536,0.065426669921875,0.08855024005486967,0.22855024005486968,-0.08,0.08,0.03862034909129097,0.044736138010676794,0.9841062162008142,20.146880410522424,79814.00048828125,124.61689497745068,0.2964952009130762,0.22931290928420306,0.0,False,False,oracle_solution,0.0,False,1.3354907118510861,False
stress,20,10075,slack_oracle,24.0,0.1973076753804802,0.04352492850560174,1.0930633441901019,0.16148148148148148,-0.0012430932617187584,0.064205,0.09148148148148147,0.23148148148148148,-0.08,0.08,0.035826193898998715,0.0447680217673205,1.0288583441901018,20.08111020126924,79630.75,127.43433688679012,0.2612029954103118,0.1860222004367627,0.0,False,False,oracle_solution,0.0,False,1.3354907118510861,False
stress,20,10075,slack_oracle,25.0,0.1974078146894531,0.043514081840536435,1.136582794965962,0.164474451303155,-0.0012853686523437435,0.062940673828125,0.09447445130315499,0.234474451303155,-0.08,0.08,0.0329333633862981,0.04479945049288018,1.0736421211378369,20.01354684669993,79441.10107421875,130.42085845175828,0.2217090156466418,0.14355366570528472,0.0,False,False,oracle_solution,0.0,False,1.3354907118510861,False
stress,20,10075,slack_oracle,26.0,0.19747860984703874,0.04350360242951865,1.180091578796554,0.16752400548696844,-0.0013268823242187505,0.061634453125,0.09752400548696843,0.23752400548696845,-0.08,0.08,0.029954604360070303,0.0448304847537374,1.118457125671554,19.944241348659794,79245.16796875,133.58332321241127,0.18065244248733314,0.10366380677336484,0.0,False,False,oracle_solution,0.0,False,1.3354907118510861,False
stress,20,10075,slack_oracle,27.0,0.19752620115157116,0.043493518372460065,1.2235900799733006,0.170625,-0.0013676342773437516,0.060287099609375,0.10062499999999999,0.240625,-0.08,0.08,0.026901201151571158,0.044861152649803816,1.1633029803639257,19.87324356180684,79043.06494140625,136.92902743426504,0.14020876771653834,0.06764312476973625,0.0,False,False,oracle_solution,0.0,False,1.3354907118510861,False
stress,20,10075,slack_oracle,28.0,0.19755552778320953,0.043483829034193414,1.2670786960870437,0.17377229080932782,-0.001407624511718747,0.058899375000000004,0.10377229080932782,0.24377229080932783,-0.08,0.08,0.02378323697388171,0.04489145354591216,1.2081793210870437,19.800602276399946,78834.90625,140.46571735643462,0.10208857977376629,0.03640140827494687,0.0,False,False,oracle_solution,0.0,False,1.3354907118510861,False
stress,20,10075,slack_oracle,29.0,0.19757054101020344,0.043474508893841975,1.310557811233779,0.17696073388203018,-0.0014468530273437502,0.057472041015625,0.10696073388203017,0.2469607338820302,-0.08,0.08,0.020609807128173258,0.044921361921185725,1.253085770218154,19.726365292062432,78620.80615234375,144.20160732253274,0.06758179086817105,0.010520058585653172,0.0,False,False,oracle_solution,0.0,False,1.3354907118510861,False
stress,20,10075,slack_oracle,30.0,0.19757437866083072,0.04346551119402752,1.354027772977099,0.1801851851851852,-0.0014853198242187476,0.056005859375,0.11018518518518519,0.2501851851851852,-0.08,0.08,0.01738919347564552,0.04495083101824627,1.2980219136020992,19.65057948379968,78400.87890625,148.14539880568097,0.037606118213491094,-0.009719613822525923,0.0,False,False,oracle_solution,0.0,False,1.3354907118510861,False
stress,20,10075,slack_oracle,31.0,0.19756950834347964,0.04345677146256525,1.3974888728810684,0.1834405006858711,-0.001523024902343753,0.054501591796875,0.11344050068587108,0.2534405006858711,-0.08,0.08,0.01412900765760855,0.044979796364909,1.3429872810841934,19.573290861329905,78175.23876953125,152.3063003355444,0.012744961797295645,-0.024324326832606564,0.0,False,False,oracle_solution,0.0,False,1.3354907118510861,False
stress,20,10075,slack_oracle,32.0,0.19755784557182837,0.04344821113612663,1.4409413305933123,0.186721536351166,-0.0015599682617187527,0.05295999999999999,0.116721536351166,0.256721536351166,-0.08,0.08,0.010836309220662366,0.045008179397845384,1.3879813305933124,19.494544622611564,77944.0,156.69404833189384,-0.006728279148321976,-0.0335852898592992,0.0,False,False,oracle_solution,0.0,False,1.3354907118510861,False
stress,20,10075,slack_oracle,33.0,0.1975408519678433,0.04343974155421162,1.484385281715166,0.19002314814814816,-0.0015961499023437464,0.051381845703125005,0.12002314814814816,0.2600231481481482,-0.08,0.08,0.007517703819695132,0.045035891456555364,1.433003436012041,19.414385202309198,77707.27685546875,161.3189288457153,-0.020836805639764186,-0.038074577043088746,0.0,False,False,oracle_solution,0.0,False,1.3354907118510861,False
stress,20,10075,slack_oracle,34.0,0.19751961792348424,0.0434312685555968,1.5278207699520454,0.19334019204389574,-0.001631569824218762,0.049767890625000005,0.12334019204389574,0.26334019204389575,-0.08,0.08,0.0041794258795885,0.04506283837981556,1.4780528793270453,19.33285631582411,77465.18359375,166.1918002052219,-0.029892152756181237,-0.03863102083153881,0.0,False,False,oracle_solution,0.0,False,1.3354907118510861,False
stress,20,10075,slack_oracle,35.0,0.19749493340164634,0.04342269780263983,1.5712477442225117,0.19666752400548698,-0.0016662280273437372,0.048118896484375,0.12666752400548698,0.266667524005487,-0.08,0.08,0.0008274093961593565,0.04508892582998357,1.5231288477381366,19.25000099942194,77217.83447265625,171.32411656020474,-0.03448285546219787,-0.03632302212932619,0.0,False,False,oracle_solution,0.0,False,1.3354907118510861,False
stress,20,10075,slack_oracle,36.0,0.19746734986020262,0.043413940765386204,1.6146660614413926,0.2,-0.001700124511718755,0.046435625,0.13,0.27,-0.08,0.08,-0.0025326501397973933,0.04511406527710496,1.5682304364413926,19.165861646911356,76965.34375,176.72795231389205,-0.03544953192709712,-0.03237426000730832,0.0,False,False,oracle_solution,0.0,False,1.3354907118510861,False
stress,20,10075,slack_oracle,37.0,0.19743723550152364,0.04340492099656883,1.658075495483377,0.20333247599451304,-0.001733259277343746,0.044718837890624995,0.13333247599451303,0.27333247599451305,-0.08,0.08,-0.005895240492989395,0.04513818027391257,1.613356657592752,19.080480043263627,76707.82568359375,182.4160274268472,-0.033834029896150884,-0.02804086026272428,0.0,False,False,oracle_solution,0.0,False,1.3354907118510861,False
stress,20,10075,slack_oracle,38.0,0.19740482510190338,0.04339557992362878,1.7014757522691917,0.20665980795610428,-0.0017656323242187522,0.042969296875,0.13665980795610427,0.2766598079561043,-0.08,0.08,-0.0092549828542009,0.04516121224784753,1.6585064553941917,18.99389739550893,76445.39453125,188.40173357233184,-0.030790761673853487,-0.024442745754937708,0.0,False,False,oracle_solution,0.0,False,1.3354907118510861,False
stress,20,10075,slack_oracle,39.0,0.19737026453422543,0.04338588097166452,1.7448664899290383,0.20997685185185183,-0.0017972436523437524,0.041187763671875,0.13997685185185182,0.27997685185185184,-0.08,0.08,-0.0126065873176264,0.045183124624008274,1.7036787262571633,18.90615436120024,76178.16455078125,194.69916111696458,-0.02745602156729673,-0.0223949481726587,0.0,False,False,oracle_solution,0.0,False,1.3354907118510861,False
stress,20,10075,slack_oracle,40.0,0.1973336489322362,0.04337581077117378,1.7882473417279525,0.21327846364883404,-0.0018280932617187468,0.039375,0.14327846364883404,0.283278463648834,-0.08,0.08,-0.015944814716597838,0.045203904032892525,1.7488723417279526,18.817291074697604,75906.25,201.32312689437006,-0.024797338185448912,-0.0223949481726587,0.0,False,False,oracle_solution,0.0,False,1.3354907118510861,False
