scenario_id,tier,seed,fault,controller,time_s,alpha_rad,q_radps,theta_rad,measured_alpha_rad,measured_q_radps,measured_theta_rad,alpha_ref_rad,q_ref_radps,theta_ref_rad,alpha_min_rad,alpha_max_rad,q_min_radps,q_max_radps,alpha_error_rad,q_error_rad,theta_error_rad,solver_status,solver_failure,fault_active,fallback_action,safe_mode_active,constraint_tightening_active,residual_error_rad,delta_flap_raw_rad,delta_flap_delayed_rad,delta_flap_lagged_rad,delta_flap_rad,delta_flap_rate_radps,flap_saturated,flap_rate_saturated,fault_extra_actuator_delay_active,fault_stuck_flap_override,altitude_m,velocity_mps,mach,density_kgm3,dynamic_pressure_pa,density_scale,cm_alpha_scale,cm_delta_scale,cm_q_scale,actuator_lag_s,actuator_delay_s,sensor_noise_alpha_rad,sensor_noise_q_radps,sensor_noise_theta_rad,initial_alpha_error_rad,initial_q_error_radps,initial_theta_error_rad,external_disturbance_moment_nm,corridor_violation
0,fault_injection,1511,sudden_density_jump,residual_nmpc_no_fallback,94.0,0.1860345780551185,0.03977066099842076,4.312728432558895,0.18688281995615993,0.039743883069966436,4.313317014515942,0.26125000000000004,-0.002362819824218737,-0.08377664062500005,0.19125000000000003,0.33125000000000004,-0.08,0.08,-0.07521542194488154,0.0421334808226395,4.396505073183896,Solve_Succeeded,False,True,none,False,False,0.0743671800438401,0.35000000126249853,0.35000000126249853,0.35000000126249853,0.35,0.0,False,False,False,False,57433.50390625,3933.3288563310607,13.330244589922744,0.00034867405012802704,2697.181345558985,1.0,1.0,1.0,1.0,0.0,0.0,0.0005,0.0002,0.0005,-0.035,0.04655,0.0,0.0,True
0,fault_injection,1511,sudden_density_jump,residual_nmpc_no_fallback,94.5,0.1854498233543742,0.039617385110920764,4.332575432959152,0.18549625638722553,0.039798775684332384,4.3331853664838995,0.26047718761739297,-0.0023573925781249505,-0.08495671752929686,0.19047718761739296,0.330477187617393,-0.08,0.08,-0.07502736426301876,0.041974777689045714,4.417532150488449,held,False,True,none,False,False,0.07498093123016744,0.35000000126249853,0.35000000126249853,0.35000000126249853,0.35,0.0,False,False,False,False,57256.49237060547,3918.834987714277,13.281124157644383,0.0003585436818997662,2753.125645535664,1.0,1.0,1.0,1.0,0.0,0.0,0.0005,0.0002,0.0005,-0.035,0.04655,0.0,0.0,True
0,fault_injection,1511,sudden_density_jump,residual_nmpc_no_fallback,95.0,0.18485264527005388,0.039460951886102665,4.352345005619475,0.183373658765195,0.03942231201575709,4.352094515127927,0.25969301746806916,-0.0023517749023438117,-0.086134033203125,0.18969301746806916,0.32969301746806917,-0.08,0.08,-0.07484037219801529,0.041812726788446476,4.4384790388226,held,False,True,none,False,False,0.07631935870287415,0.35000000126249853,0.35000000126249853,0.35000000126249853,0.35,0.0,False,False,False,False,57079.89501953125,3904.3898155558845,13.232168760054128,0.0003686686057153966,2810.0400086795103,1.0,1.0,1.0,1.0,0.0,0.0,0.0005,0.0002,0.0005,-0.035,0.04655,0.0,0.0,True
0,fault_injection,1511,sudden_density_jump,residual_nmpc_no_fallback,95.5,0.1842428312071353,0.039301312663044735,4.3720355596886105,0.1842343939466916,0.03963066979544316,4.372701587473886,0.25889775368613827,-0.0023459667968750153,-0.08730849243164067,0.18889775368613826,0.32889775368613827,-0.08,0.08,-0.07465492247900296,0.04164727945991975,4.459344052120251,held,False,True,none,False,False,0.07466335973944666,0.35000000126249853,0.35000000126249853,0.35000000126249853,0.35,0.0,False,False,False,False,56903.726135253906,3889.99434998271,13.183381820521381,0.0003790538358754826,2867.9319438715193,1.0,1.0,1.0,1.0,0.0,0.0,0.0005,0.0002,0.0005,-0.035,0.04655,0.0,0.0,True
0,fault_injection,1511,sudden_density_jump,residual_nmpc_no_fallback,96.0,0.18362016768864897,0.03913841883654777,4.391645479998253,0.18348179265684983,0.039203917102370256,4.391660473987349,0.25809166040571,-0.0023399682617187,-0.08848000000000002,0.18809166040571001,0.32809166040571003,-0.08,0.08,-0.07447149271706105,0.04147838709826647,4.480125479998253,Solve_Succeeded,False,True,none,False,False,0.07460986774886019,0.3500000019931328,0.3500000019931328,0.3500000019931328,0.35,0.0,False,False,False,False,56728.0,3875.649599164461,13.134766755782778,0.00038970440434027214,2926.808643099356,1.0,1.0,1.0,1.0,0.0,0.0,0.0005,0.0002,0.0005,-0.035,0.04655,0.0,0.0,True
0,fault_injection,1511,sudden_density_jump,residual_nmpc_no_fallback,96.5,0.18298444048351545,0.038972221896921906,4.411173127100847,0.18338541042277248,0.03911851025252895,4.411505797238319,0.2572750017608941,-0.002333779296874977,-0.08964846069335937,0.18727500176089407,0.3272750017608941,-0.08,0.08,-0.07429056127737863,0.04130600119379688,4.500821587794206,held,False,True,none,False,False,0.07388959133812159,0.3500000019931328,0.3500000019931328,0.3500000019931328,0.35,0.0,False,False,False,False,56552.730895996094,3861.356569330537,13.086326975999148,0.00040062535622431713,2986.6769650665797,1.0,1.0,1.0,1.0,0.0,0.0,0.0005,0.0002,0.0005,-0.035,0.04655,0.0,0.0,True
0,fault_injection,1511,sudden_density_jump,residual_nmpc_no_fallback,97.0,0.1823354347402497,0.038802673471203135,4.430616837327635,0.18229012266965647,0.03854535751116585,4.430539115739106,0.25644804188580017,-0.002327399902343763,-0.090813779296875,0.18644804188580016,0.3264480418858002,-0.08,0.08,-0.07411260714555046,0.0411300733735469,4.52143061662451,held,False,True,none,False,False,0.0741579192161437,0.3500000019931328,0.3500000019931328,0.3500000019931328,0.35,0.0,False,False,False,False,56377.93310546875,3847.116264786609,13.038065884811717,0.00041182174504466153,3047.543418561271,1.0,1.0,1.0,1.0,0.0,0.0,0.0005,0.0002,0.0005,-0.035,0.04655,0.0,0.0,True
0,fault_injection,1511,sudden_density_jump,residual_nmpc_no_fallback,97.5,0.1816729351265984,0.038629725365799075,4.449974922867679,0.18255391355803494,0.03884303851621624,4.4505438156523525,0.25561104491453795,-0.00232083007812503,-0.09197586059570313,0.18561104491453795,0.32561104491453796,-0.08,0.08,-0.07393810978793955,0.040950555443924105,4.541950783463382,held,False,True,none,False,False,0.07305713135650302,0.3500000019931328,0.3500000019931328,0.3500000019931328,0.35,0.0,False,False,False,False,56203.62091064453,3832.929687930953,12.989986879397451,0.0004232986277173506,3109.414145596201,1.0,1.0,1.0,1.0,0.0,0.0,0.0005,0.0002,0.0005,-0.035,0.04655,0.0,0.0,True
0,fault_injection,1511,sudden_density_jump,residual_nmpc_no_fallback,98.0,0.18099672597516792,0.038453329610560714,4.469245671868557,0.18106722064670377,0.038558808086685784,4.469624282986481,0.2547642749812171,-0.0023140698242187507,-0.09313460937500002,0.1847642749812171,0.3247642749812171,-0.08,0.08,-0.0737675490060492,0.040767399434779465,4.562380281243557,Solve_Succeeded,False,True,none,False,False,0.07369705433451335,0.34999998905204377,0.34999998905204377,0.34999998905204377,0.34999998905204377,-2.189591241652522e-08,False,False,False,False,56029.80859375,3818.7978392705595,12.942093350523658,0.0004350610592972452,3172.2949043336857,1.0,1.0,1.0,1.0,0.0,0.0,0.0005,0.0002,0.0005,-0.035,0.04655,0.0,0.0,True
0,fault_injection,1511,sudden_density_jump,residual_nmpc_no_fallback,98.5,0.18030659143594355,0.03827343850780215,4.488427348560335,0.18076115724882563,0.037883378256081214,4.489486537604161,0.2539079962199474,-0.0023071191406249802,-0.09428993041992188,0.1839079962199474,0.3239079962199474,-0.08,0.08,-0.07360140478400387,0.04058055764842713,4.582717278980257,held,False,True,none,False,False,0.07314683897112179,0.34999998905204377,0.34999998905204377,0.34999998905204377,0.34999998905204377,0.0,False,False,False,False,55856.51043701172,3804.721717437004,12.89438868260177,0.0004471140874563453,3236.1910518088343,1.0,1.0,1.0,1.0,0.0,0.0,0.0005,0.0002,0.0005,-0.035,0.04655,0.0,0.0,True
0,fault_injection,1511,sudden_density_jump,residual_nmpc_no_fallback,99.0,0.17960231563308976,0.038090004668701556,4.507518193400892,0.17910615640655023,0.03779801849928352,4.507814294913368,0.2530424727648385,-0.0022999780273437465,-0.095441728515625,0.18304247276483848,0.3230424727648385,-0.08,0.08,-0.07344015713174873,0.0403899826960453,4.602959921916517,held,False,True,none,False,False,0.07393631635828826,0.34999998905204377,0.34999998905204377,0.34999998905204377,0.34999998905204377,0.0,False,False,False,False,55683.74072265625,3790.7023192021034,12.846876253740414,0.0004594627466961158,3301.1075264659535,1.0,1.0,1.0,1.0,0.0,0.0,0.0005,0.0002,0.0005,-0.035,0.04655,0.0,0.0,True
