tier,scenario_id,seed,density_scale,cm_alpha_scale,cm_delta_scale,cm_q_scale,actuator_lag_s,actuator_delay_s,sensor_noise_alpha_rad,sensor_noise_q_radps,sensor_noise_theta_rad,initial_alpha_error_rad,initial_q_error_radps,initial_theta_error_rad,external_disturbance_moment_nm,controller,rms_alpha_error_rad,max_alpha_error_rad,rms_pitch_rate_error_radps,control_effort_abs_rad_s,flap_saturation_fraction,flap_rate_saturation_fraction,alpha_violation_count,pitch_rate_violation_count,solver_failure,unstable_response,failure_label,first_alpha_violation_time_s,first_alpha_violation_side,max_alpha_corridor_miss_rad,max_q_corridor_miss_radps,alpha_violation_duration_s,q_violation_duration_s,first_alpha_violation_before_three_updates,mean_solve_time_s,p95_solve_time_s,controlled_recovery,controlled_recovery_max_alpha_miss_rad,controlled_recovery_max_q_miss_radps,oracle_feasible,oracle_near_feasible,oracle_max_alpha_miss_rad,oracle_max_q_miss_radps,raw_applied_flap_gap_mean_rad,raw_applied_flap_gap_max_rad,safety_applied_flap_gap_mean_rad,safety_applied_flap_gap_max_rad,online_minus_oracle_alpha_miss_rad,trajectory_csv,metrics_json
moderate,20,75,0.9139875044578593,0.8959387140489857,1.0657001810096507,1.0737327034910578,0.32660754081032123,0.5,0.002780587108406105,0.0014209251648662179,0.0026003339509684193,-0.04962194048796585,0.04481641846756807,0.012921811856248388,-2386.6701131490518,ridge_no_safety,0.037627603323747295,0.058775712754854964,0.043795952223557616,4.389297223920515,0.0,0.04938271604938271,0,0,False,False,success,,none,0.0,0.0,0.0,0.0,False,0.0,0.0,True,0.0,0.0,True,True,0.0,0.0,0.05185588123537667,0.1547748794207905,0.05185588123537667,0.1547748794207905,0.0,outputs/phase20_full_oracle_imitation/ridge_no_safety/moderate/scenario_020/trajectory.csv,outputs/phase20_full_oracle_imitation/ridge_no_safety/moderate/scenario_020/metrics.json
moderate,21,76,1.0918994527472485,1.1456569918527775,1.0729598965872842,1.0883542027304094,0.027339897603273426,0.0,0.001685194547250858,0.0014501173465736876,0.0006696134183233629,-0.0395062865374655,0.04033680011171257,-0.017731595044067232,-875.2161367207173,ridge_no_safety,0.028061082049522703,0.04286829763355443,0.040520482648729365,2.7276731565831756,0.0,0.13580246913580246,0,0,False,False,success,,none,0.0,0.0,0.0,0.0,False,0.0,0.0,True,0.0,0.0,True,True,0.0,0.0,0.005061247357079127,0.08212803015023787,0.005061247357079127,0.08212803015023787,0.0,outputs/phase20_full_oracle_imitation/ridge_no_safety/moderate/scenario_021/trajectory.csv,outputs/phase20_full_oracle_imitation/ridge_no_safety/moderate/scenario_021/metrics.json
moderate,22,77,1.0857796925627479,1.0153515867400944,0.8975552787813753,0.9337812825911712,0.1115415692187238,0.5,0.0024039020389270815,0.00013620245998751984,0.0011208731782933932,-0.026260312992074958,0.05172342929136724,0.004159001575210968,-1846.2608359159615,ridge_no_safety,0.06318268772859102,0.09019041881963591,0.051017861100765165,12.99019736184139,0.0,0.037037037037037035,33,0,False,False,alpha_corridor_violation,6.0,high,0.020190418819635902,0.0,16.5,0.0,False,0.0,0.0,True,0.020190418819635902,0.0,False,True,0.02284638930528768,0.0,0.07332255840634326,0.2555353603890364,0.010783773755133924,0.2555353603890364,-0.0026559704856517763,outputs/phase20_full_oracle_imitation/ridge_no_safety/moderate/scenario_022/trajectory.csv,outputs/phase20_full_oracle_imitation/ridge_no_safety/moderate/scenario_022/metrics.json
moderate,23,78,0.9756589263490966,1.1245405911368507,1.007246608108957,1.134851281548517,0.13031717770780502,0.5,0.0011392070187764415,0.00048621161205069274,0.0017426124876274104,-0.029804071435873502,0.05355477431251187,-0.010069598855220723,1069.821977190234,ridge_no_safety,0.07701510258473353,0.10216154226391744,0.0551712945519628,13.657499782309205,0.0,0.037037037037037035,47,0,False,False,alpha_corridor_violation,5.5,high,0.03216154226391743,0.0,23.5,0.0,False,0.0,0.0,False,0.03216154226391743,0.0,False,False,0.03048568749330824,0.0,0.2187030633065709,0.3142858479585576,0.010176373868396921,0.3142858479585576,0.001675854770609192,outputs/phase20_full_oracle_imitation/ridge_no_safety/moderate/scenario_023/trajectory.csv,outputs/phase20_full_oracle_imitation/ridge_no_safety/moderate/scenario_023/metrics.json
moderate,24,79,1.1258807162130564,0.8714867820419543,1.1692325416008753,0.814298624388897,0.030615126601149022,1.0,0.0014331024173763914,0.0005624939809914936,0.0003099352822662108,-0.031360551256634006,0.04678513740266193,0.0047522221300642055,-1944.0632265947372,ridge_no_safety,0.04512934457185236,0.06896960416184175,0.046049470459902694,7.591387860118467,0.0,0.0,0,0,False,False,success,,none,0.0,0.0,0.0,0.0,False,0.0,0.0,True,0.0,0.0,False,True,0.0016225315960384512,0.0,0.026861731907434072,0.08307213191330617,0.026861731907434072,0.08307213191330617,-0.0016225315960384512,outputs/phase20_full_oracle_imitation/ridge_no_safety/moderate/scenario_024/trajectory.csv,outputs/phase20_full_oracle_imitation/ridge_no_safety/moderate/scenario_024/metrics.json
moderate,25,80,1.070947399403036,0.8555256390479212,0.8146534837506187,1.0378828917129967,0.20499977511052314,0.5,0.0019144016567179732,0.0011632872232517032,0.0022357993679349695,-0.04535989636464315,0.05340989691901187,-0.007916318535278829,544.330522248232,ridge_no_safety,0.07436822034390779,0.09991891339069275,0.05464873805442426,13.656945173668165,0.0,0.037037037037037035,44,0,False,False,alpha_corridor_violation,6.0,high,0.029918913390692747,0.0,22.0,0.0,False,0.0,0.0,False,0.029918913390692747,0.0,False,False,0.028983846001270075,0.0,0.20098398057655173,0.3139526629166134,0.008263570611962071,0.2596732812493925,0.0009350673894226724,outputs/phase20_full_oracle_imitation/ridge_no_safety/moderate/scenario_025/trajectory.csv,outputs/phase20_full_oracle_imitation/ridge_no_safety/moderate/scenario_025/metrics.json
moderate,26,81,0.9802339873316895,0.9134884968893588,1.1648149276757236,1.04418569509029,0.15559087089782156,0.5,0.0013961163455871609,0.00014605960068973345,0.0008346915058060365,-0.04864821677376013,0.05486981482024496,0.008688344072817334,-455.64376166496834,ridge_no_safety,0.0773013625880452,0.10433475445279972,0.05528081471110795,13.657491230620822,0.0,0.037037037037037035,46,0,False,False,alpha_corridor_violation,5.5,high,0.03433475445279971,0.0,23.0,0.0,False,0.0,0.0,False,0.03433475445279971,0.0,False,False,0.03504751117693414,0.0,0.22150997615694215,0.3136621147302025,0.010060307518221638,0.3136621147302025,-0.0007127567241344279,outputs/phase20_full_oracle_imitation/ridge_no_safety/moderate/scenario_026/trajectory.csv,outputs/phase20_full_oracle_imitation/ridge_no_safety/moderate/scenario_026/metrics.json
moderate,27,82,1.1492916257155794,1.1064363846779492,0.8870745597343758,1.1920581651836084,0.14300614316998417,1.0,0.0006719056401975203,0.00045800719272121265,0.0028565153805100423,-0.04565584646376688,0.04691304339545236,-0.005618167484813594,1813.3132180288903,ridge_no_safety,0.0523264470276092,0.07401348805175934,0.04914202893580672,12.285973853043684,0.0,0.0,14,0,False,False,alpha_corridor_violation,10.0,high,0.0040134880517593285,0.0,7.0,0.0,False,0.0,0.0,True,0.0040134880517593285,0.0,False,True,0.0011558178645756367,0.0,0.02142302748798606,0.10233816624245826,0.015327138248786454,0.10233816624245826,0.002857670187183692,outputs/phase20_full_oracle_imitation/ridge_no_safety/moderate/scenario_027/trajectory.csv,outputs/phase20_full_oracle_imitation/ridge_no_safety/moderate/scenario_027/metrics.json
moderate,28,83,0.9449242959553005,0.8633814579028736,1.0516372919364707,0.9229924153907075,0.11996233528314156,0.5,0.0026639599709632816,0.0006104370627121915,0.001115212476995282,-0.03212549070948847,0.04635240003745487,0.002587753645178541,972.8012383179068,ridge_no_safety,0.049176607158508,0.07123045677820442,0.04797547140367396,10.49209144071451,0.0,0.0,4,0,False,False,alpha_corridor_violation,11.5,high,0.0012304567782044085,0.0,2.0,0.0,False,0.0,0.0,True,0.0012304567782044085,0.0,True,True,0.0,0.0,0.024930684757694804,0.06530841845984864,0.024648470471779607,0.06530841845984864,0.0012304567782044085,outputs/phase20_full_oracle_imitation/ridge_no_safety/moderate/scenario_028/trajectory.csv,outputs/phase20_full_oracle_imitation/ridge_no_safety/moderate/scenario_028/metrics.json
moderate,29,84,1.0696294716783745,1.1200610988195503,1.099715581772791,1.1535742191160263,0.07960960432354232,0.0,0.0019463869562487603,0.0004242783563313396,0.000848639165457846,-0.024806855750437326,0.04086951489366636,-0.004661681111193499,-420.93059440356905,ridge_no_safety,0.029973132078047904,0.04692526442892156,0.04140529895157028,2.1906332393715404,0.0,0.012345679012345678,0,0,False,False,success,,none,0.0,0.0,0.0,0.0,False,0.0,0.0,True,0.0,0.0,True,True,0.0,0.0,6.468666318181189e-05,0.0022736715234303595,6.468666318181189e-05,0.0022736715234303595,0.0,outputs/phase20_full_oracle_imitation/ridge_no_safety/moderate/scenario_029/trajectory.csv,outputs/phase20_full_oracle_imitation/ridge_no_safety/moderate/scenario_029/metrics.json
