tier,scenario_id,seed,controller,time_s,alpha_rad,q_radps,theta_rad,alpha_ref_rad,q_ref_radps,theta_ref_rad,alpha_min_rad,alpha_max_rad,q_min_radps,q_max_radps,alpha_error_rad,q_error_rad,theta_error_rad,mach,altitude_m,velocity_mps,dynamic_pressure_pa,delta_flap_rad,delta_flap_raw_rad,delta_flap_rate_radps,flap_saturated,flap_rate_saturated,solver_status,solve_time_s,solver_failure,actuator_tau_prediction_s,density_scale,cm_alpha_scale,cm_delta_scale,cm_q_scale,external_disturbance_moment_nm,corridor_violation,oracle_near_feasible,alpha_error_to_center_rad,alpha_margin_low_rad,alpha_margin_high_rad,dynamic_pressure_scaled,mach_scaled,actuator_tau_s,alpha_min_rate_radps,alpha_max_rate_radps
moderate,29,84,truth_consistent_slack_oracle,33.0,0.1825165367023395,0.0400810103946141,1.4098668742932303,0.1900231481481481,-0.0015961499023437,0.051381845703125,0.1200231481481481,0.2600231481481482,-0.08,0.08,-0.0075066114458086,0.0416771602969578,1.3584850285901056,19.4143852023092,77707.27685546875,5728.564170675286,172.55148063296377,-0.3499977441287256,-0.3456395339538993,0.0,False,False,oracle_solution,0.0,False,0.5,1.0696294716783743,1.1200610988195503,1.099715581772791,1.1535742191160263,-420.93059440356905,False,True,-0.007506611445808636,0.0624933885541914,0.0775066114458087,0.017255148063296376,0.9707192601154601,0.5,0.0033016117969821013,0.0033016117969821845
moderate,29,84,truth_consistent_slack_oracle,34.0,0.1824427410745744,0.0400624871509829,1.4499386399576766,0.1933401920438957,-0.0016315698242187,0.049767890625,0.1233401920438957,0.2633401920438957,-0.08,0.08,-0.0108974509693212,0.0416940569752017,1.4001707493326765,19.33285631582411,77465.18359375,5704.507603695355,177.76364745078948,-0.3470922706788414,-0.3254854012469511,0.0,False,False,oracle_solution,0.0,False,0.5,1.0696294716783743,1.1200610988195503,1.099715581772791,1.1535742191160263,-420.93059440356905,False,True,-0.010897450969321293,0.0591025490306787,0.0808974509693213,0.01777636474507895,0.9666428157912055,0.5,0.003317043895747593,0.0033170438957474957
moderate,29,84,truth_consistent_slack_oracle,35.0,0.1823668058335651,0.0400436301153025,1.4899917871944368,0.1966675240054869,-0.0016662280273437,0.048118896484375,0.1266675240054869,0.266667524005487,-0.08,0.08,-0.0143007181719218,0.0417098581426462,1.4418728907100615,19.25000099942194,77217.83447265625,5680.059649668205,183.25332428205604,-0.3326876910575811,-0.2954188818018433,0.0,False,False,oracle_solution,0.0,False,0.5,1.0696294716783743,1.1200610988195503,1.099715581772791,1.1535742191160263,-420.93059440356905,False,True,-0.014300718171921828,0.055699281828078206,0.08430071817192189,0.018325332428205603,0.962500049971097,0.5,0.0033273319615911984,0.0033273319615912955
moderate,29,84,truth_consistent_slack_oracle,36.0,0.182288717064248,0.0400241483085793,1.5300258352671068,0.2,-0.0017001245117187,0.046435625,0.13,0.27,-0.08,0.08,-0.0177112829357519,0.0417242728202981,1.4835902102671068,19.165861646911356,76965.34375,5655.232817650954,189.03342626430933,-0.3078418182204225,-0.2612505748403265,0.0,False,False,oracle_solution,0.0,False,0.5,1.0696294716783743,1.1200610988195503,1.099715581772791,1.1535742191160263,-420.93059440356905,False,True,-0.017711282935752,0.05228871706424801,0.087711282935752,0.01890334262643093,0.9582930823455678,0.5,0.003332475994513112,0.003332475994513029
moderate,29,84,truth_consistent_slack_oracle,37.0,0.1822082188767769,0.0400038308161393,1.5700400310890237,0.203332475994513,-0.0017332592773437,0.0447188378906249,0.133332475994513,0.273332475994513,-0.08,0.08,-0.021124257117736,0.0417370900934831,1.5253211931983983,19.080480043263627,76707.82568359375,5630.039437052273,195.11755904224643,-0.2767809893003585,-0.2286779842918392,0.0,False,False,oracle_solution,0.0,False,0.5,1.0696294716783743,1.1200610988195503,1.099715581772791,1.1535742191160263,-420.93059440356905,False,True,-0.02112425711773608,0.0488757428822639,0.09112425711773608,0.019511755904224642,0.9540240021631814,0.5,0.003332475994513001,0.0033324759945129734
moderate,29,84,truth_consistent_slack_oracle,38.0,0.1821249635521989,0.0399825876714686,1.6100334615355585,0.2066598079561042,-0.0017656323242187,0.042969296875,0.1366598079561042,0.2766598079561043,-0.08,0.08,-0.0245348444039053,0.0417482199956874,1.5670641646605583,18.99389739550893,76445.39453125,5604.4916667489015,201.52004674426317,-0.244712319294679,-0.203029963228754,0.0,False,False,oracle_solution,0.0,False,0.5,1.0696294716783743,1.1200610988195503,1.099715581772791,1.1535742191160263,-420.93059440356905,False,True,-0.024534844403905326,0.04546515559609471,0.09453484440390539,0.020152004674426318,0.9496948697754466,0.5,0.0033273319615911845,0.0033273319615912955
moderate,29,84,truth_consistent_slack_oracle,39.0,0.182038653642982,0.0399604724070722,1.6500051907187203,0.2099768518518518,-0.0017972436523437,0.041187763671875,0.1399768518518518,0.2799768518518518,-0.08,0.08,-0.0279381982088698,0.041757716059416,1.6088174270468456,18.90615436120024,76178.16455078125,5578.601503484431,208.25596084176155,-0.2169240819173957,-0.1887628279078676,0.0,False,False,oracle_solution,0.0,False,0.5,1.0696294716783743,1.1200610988195503,1.099715581772791,1.1535742191160263,-420.93059440356905,False,True,-0.02793819820886978,0.0420618017911302,0.09793819820886979,0.020825596084176154,0.945307718060012,0.5,0.0033170438957476067,0.0033170438957474957
moderate,29,84,truth_consistent_slack_oracle,40.0,0.1819491682065819,0.0399376891110062,1.6899544112035587,0.213278463648834,-0.0018280932617187,0.039375,0.143278463648834,0.283278463648834,-0.08,0.08,-0.0313292954422521,0.041765782372725,1.6505794112035588,18.817291074697604,75906.25,5552.380789624953,215.3411498566634,-0.1981499125777103,-0.1887628279078676,0.0,False,False,oracle_solution,0.0,False,0.5,1.0696294716783743,1.1200610988195503,1.099715581772791,1.1535742191160263,-420.93059440356905,False,True,-0.0313292954422521,0.038670704557747904,0.10132929544225211,0.02153411498566634,0.9408645537348802,0.5,0.0033016117969822123,0.00330161179698224
stress,1,10056,truth_consistent_slack_oracle,0.0,0.05922336186556,0.0436765814889761,0.0914232619938635,0.12,-1.5202636718752991e-05,0.08,0.0499999999999999,0.19,-0.08,0.08,-0.0607766381344399,0.0436917841256949,0.0114232619938635,21.012104371718653,82000.0,6200.0,89.34000952294922,0.0,0.1800000002628397,0.0,False,False,oracle_solution,0.0,False,1.1573352173100182,0.9303608946512464,0.8454174308359381,1.229387572067434,0.6485713174581409,-68.50071747811049,False,True,-0.06077663813443995,0.009223361865560102,0.13077663813444002,0.008934000952294921,1.0506052185859327,1.1573352173100182,0.0,0.0
stress,1,10056,truth_consistent_slack_oracle,1.0,0.0867315102982874,0.0436725468987885,0.135098018058096,0.1200917352537722,-6.052490234374763e-05,0.079969658203125,0.0500917352537722,0.1900917352537723,-0.08,0.08,-0.0333602249554848,0.0437330718011323,0.055128359854971,21.00908182581111,81995.44873046875,6199.108143368448,89.37843164329091,0.1035090115487731,0.3499999888991997,0.0,False,False,oracle_solution,0.0,False,1.1573352173100182,0.9303608946512464,0.8454174308359381,1.229387572067434,0.6485713174581409,-68.50071747811049,False,True,-0.03336022495548484,0.0366397750445152,0.10336022495548489,0.008937843164329091,1.0504540912905553,1.1573352173100182,9.173525377230429e-05,9.173525377229041e-05
